Filename,Date,Prison_name,Covid_confirmed_cases,Tags,NLTK_Negative Sentiment,NLTK_Neutral Sentiment,NLTK_Positive Sentiment,NLTK_Compound Sentiment,Flair_Sentiment,Flair_Polarity,Start_date,End_date
alameda_santarita_20211208_13170_full,20211208,Alameda_SantaRita,792,[''],0.041,0.794,0.165,0.9847,NEGATIVE,0.000176727771759,2021/12/5 00:00,2021/12/12 00:00
alameda_santarita_20211208_79927_full,20211208,Alameda_SantaRita,792,[''],0.026,0.838,0.136,0.9982,NEGATIVE,0.1952318549156189,2021/12/5 00:00,2021/12/12 00:00
alameda_santarita_20211117_77131_full,20211117,Alameda_SantaRita,581,[''],0.106,0.769,0.125,0.986,NEGATIVE,3.993511199962274e-05,2021/11/11 00:00,2021/11/18 00:00
alameda_santarita_20211104_17377_full,20211104,Alameda_SantaRita,609,[''],0.052,0.792,0.156,0.9992,NEGATIVE,0.0001574754714965,2021/11/3 00:00,2021/11/10 00:00
alameda_santarita_20211112_94071_full,20211112,Alameda_SantaRita,581,[''],0.065,0.819,0.116,0.992,NEGATIVE,0.0001742243766783,2021/11/11 00:00,2021/11/18 00:00
alameda_santarita_20210505_708_full,20210505,Alameda_SantaRita,431,[''],0.054,0.826,0.12,0.9988,NEGATIVE,9.059906005859376e-05,2021/5/3 00:00,2021/5/10 00:00
alameda_santarita_20220113_78977_full,20220113,Alameda_SantaRita,14028,[''],0.074,0.799,0.127,0.9987,NEGATIVE,1.0609626770019531e-05,2022/1/6 00:00,2022/1/13 00:00
alameda_santarita_20220225_68847_full,20220225,Alameda_SantaRita,1656,[''],0.038,0.823,0.139,0.9988,NEGATIVE,3.504753112804071e-05,2022/2/23 00:00,2022/3/2 00:00
alameda_santarita_20220225_43871_full,20220225,Alameda_SantaRita,1656,[''],0.07,0.853,0.077,0.6405,NEGATIVE,0.0030862092971801,2022/2/23 00:00,2022/3/2 00:00
amador_main_20210914_87709_full,20210914,Amador_Main,95,[''],0.06,0.81,0.13,0.9946,NEGATIVE,9.560585021961554e-05,2021/9/8 00:00,2021/9/15 00:00
amador_main_20210831_95905_full,20210831,Amador_Main,140,[''],0.054,0.784,0.162,0.9984,NEGATIVE,3.576278686412415e-06,2021/8/31 00:00,2021/9/7 00:00
avenal_20201030_7_01_full,20201030,Avenal,245,[''],0.059,0.818,0.122,0.9986,NEGATIVE,0.000149130821228,2020/10/23 00:00,2020/10/30 00:00
avenal_20201105_07_12_full,20201105,Avenal,364,[''],0.05,0.797,0.153,0.9995,NEGATIVE,0.0045788884162903,2020/10/31 00:00,2020/11/7 00:00
avenal_20201105_08_11_full,20201105,Avenal,364,[''],0.092,0.857,0.051,-0.996,NEGATIVE,0.0001333951950072,2020/10/31 00:00,2020/11/7 00:00
avenal_20201105_0830_full,20201105,Avenal,364,[''],0.044,0.873,0.083,0.9984,NEGATIVE,3.123283386241571e-05,2020/10/31 00:00,2020/11/7 00:00
avenal_20201106_623_full,20201106,Avenal,364,[''],0.062,0.796,0.142,0.9994,NEGATIVE,2.6702880859375e-05,2020/10/31 00:00,2020/11/7 00:00
avenal_20201110_08_13_full,20201110,Avenal,322,[''],0.076,0.798,0.125,0.9977,NEGATIVE,6.258487701416016e-05,2020/11/8 00:00,2020/11/15 00:00
avenal_20201110_7_51_full,20201110,Avenal,322,[''],0.077,0.812,0.111,0.9969,NEGATIVE,0.0002223849296569,2020/11/8 00:00,2020/11/15 00:00
avenal_20201113_7_18_full,20201113,Avenal,322,[''],0.095,0.739,0.165,0.998,NEGATIVE,7.987022400013366e-06,2020/11/8 00:00,2020/11/15 00:00
avenal_20210317_8_31_full,20210317,Avenal,119,[''],0.118,0.738,0.144,0.9934,NEGATIVE,7.247924804676398e-05,2021/3/16 00:00,2021/3/23 00:00
avenal_20210326_6_51_full,20210326,Avenal,84,[''],0.071,0.838,0.091,0.9879,NEGATIVE,0.0003221035003662,2021/3/24 00:00,2021/3/31 00:00
avenal_20210518_5_22_full_infection_prisonconditions_stress,20210518,Avenal,39,"['Infection', ' Prison Conditions', ' Stress']",0.027,0.735,0.238,0.9993,NEGATIVE,3.588199615478516e-05,2021/5/11 00:00,2021/5/18 00:00
avenal_20210916_71906_p1_full,20210916,Avenal,676,[''],0.056,0.802,0.143,0.9995,NEGATIVE,1.0848045349232116e-05,2021/9/16 00:00,2021/9/23 00:00
avenal_20210916_71906_p2_full,20210916,Avenal,676,[''],0.055,0.827,0.118,0.9992,NEGATIVE,6.35385513305664e-05,2021/9/16 00:00,2021/9/23 00:00
avenal_20210916_71906_p3_full,20210916,Avenal,676,[''],0.082,0.75,0.169,0.9997,NEGATIVE,0.0496430397033692,2021/9/16 00:00,2021/9/23 00:00
butte_main_20220105_59841_full,20220105,Butte_Main,672,[''],0.081,0.697,0.222,0.9999,NEGATIVE,8.463859557994446e-06,2021/12/29 00:00,2022/1/5 00:00
butte_main_20220105_13697_full,20220105,Butte_Main,672,[''],0.092,0.731,0.177,0.9996,NEGATIVE,0.0007504820823668,2021/12/29 00:00,2022/1/5 00:00
californiacity_20210604_821_full_programs_infection,20210604,CaliforniaCity,18,"['Programs', ' Infection']",0.073,0.801,0.126,0.9571,NEGATIVE,6.985664367675781e-05,2021/6/4 00:00,2021/6/11 00:00
californiacity_20210609_844_full,20210609,CaliforniaCity,18,[''],0.044,0.747,0.209,0.9999,POSITIVE,0.99433571100235,2021/6/4 00:00,2021/6/11 00:00
californiacity_20210617_624_full,20210617,CaliforniaCity,14,[''],0.029,0.89,0.082,0.9985,NEGATIVE,0.0001373291015623,2021/6/12 00:00,2021/6/19 00:00
