Filename,Sentiment,Subjectivity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,prison_name,County,population,tags,Start Date,End Date,date,cases,deaths,Subjectivity_BoxCox,Case/Population,Death/Population
Chino_20200430_72_FULL,NEGATIVE,5.40018081665039E-05,0.094,0.842,0.064,-0.9494,Chino,San Bernardino,2217398.0,[''],2020-04-23,2020-04-30,2020-04-30,583.0,19.0,-16.282264664105500,0.00026292077470981800,8.56860157716387E-06
Solano_20200805_05_00_FULL,NEGATIVE,2.6404857635498E-05,0.053,0.818,0.129,0.9995,Solano,Solano,444255.0,[''],2020-07-29,2020-08-05,2020-08-05,433.0,5.0,-18.17269796499600,0.0009746654511485520,1.12547973573736E-05
Chino_20200828_136_FULL,POSITIVE,0.968519479036331,0.066,0.677,0.257,0.9966,Chino,San Bernardino,2217398.0,[''],2020-08-21,2020-08-28,2020-08-28,1701.0,53.0,-0.0320355301892757,0.0007671153306713540,2.39018886099834E-05
Donovan_20201004_05_00_FULL,NEGATIVE,0.0001060664653778,0.066,0.826,0.108,0.9895,Donovan,San Diego,3370418.0,[''],2020-09-27,2020-10-04,2020-10-04,2211.0,19.0,-14.613118093804900,0.0006560017184812090,5.63728297202305E-06
Solano_20201012_0935_FULL,NEGATIVE,9.00328159332275E-05,0.07,0.819,0.111,0.9979,Solano,Solano,444255.0,[''],2020-10-05,2020-10-12,2020-10-12,313.0,1.0,-15.008537966976200,0.0007045503145715860,2.25095947147472E-06
Vacaville_20201015_154_FULL,NEGATIVE,0.0005373060703278,0.122,0.76,0.119,-0.1531,Vacaville,Solano,444255.0,[''],2020-10-08,2020-10-15,2020-10-15,308.0,0.0,-11.014675255767900,0.0006932955172142130,0.0
Soledad_20201027_07_31_FULL,NEGATIVE,0.0032254755496978,0.045,0.858,0.097,0.9991,Soledad,Monterey,448732.0,[''],2020-10-20,2020-10-27,2020-10-27,451.0,8.0,-7.63637273875259,0.0010050542417300300,1.78280131570737E-05
SanQuentin_20201027_06_05_FULL,NEGATIVE,4.17232513427734E-06,0.122,0.796,0.082,-0.9966,San Quentin,Marin,260800.0,[''],2020-10-20,2020-10-27,2020-10-27,5.0,1.0,-23.68706922896880,1.91717791411043E-05,3.83435582822086E-06
Lancaster_20201029_002_FULL,NEGATIVE,0.0001895427703857,0.099,0.778,0.123,0.7929,Lancaster,Los Angeles,10257557.0,[''],2020-10-22,2020-10-29,2020-10-29,10460.0,128.0,-13.261132956755200,0.00101973598586876,1.2478604798394E-05
Avenal_20201030_7_01_FULL,NEGATIVE,7.45654106140137E-05,0.059,0.818,0.122,0.9986,Avenal,Kings,156444.0,[''],2020-10-23,2020-10-30,2020-10-30,531.0,1.0,-15.471033409003700,0.003394185778936870,6.39206361381709E-06
Norco_20201102_10_FULL,NEGATIVE,3.03983688353937E-05,0.089,0.739,0.173,0.9701,Norco,Riverside,2468145.0,"['Infection', ' Family']",2020-10-26,2020-11-02,2020-11-02,3353.0,34.0,-17.790295853800300,0.0013585101361548900,1.37755277749079E-05
San_Quentin_20201103_647_FULL,NEGATIVE,4.64916229248047E-06,0.05,0.758,0.192,0.9999,San Quentin,Marin,260800.0,[''],2020-10-27,2020-11-03,2020-11-03,4.0,0.0,-23.33617150090320,1.53374233128834E-05,0.0
Corcoran_20201103_07_39_FULL,NEGATIVE,5.16772270202082E-05,0.076,0.756,0.168,0.9996,Corcoran,Kings,156444.0,[''],2020-10-27,2020-11-03,2020-11-03,327.0,3.0,-16.394837662530100,0.0020902048017181900,1.91761908414513E-05
Chuckawalla_20201105_0728_FULL,NEGATIVE,5.74588775634766E-05,0.139,0.76,0.101,-0.9974,Chuckawalla,Riverside,2468145.0,[''],2020-10-29,2020-11-05,2020-11-05,3966.0,34.0,-16.124308093789800,0.0016068747986848400,1.37755277749079E-05
Chuckawalla_20201105_06_41_FULL,NEGATIVE,2.77757644653875E-05,0.086,0.793,0.122,0.9976,Chuckawalla,Riverside,2468145.0,[''],2020-10-29,2020-11-05,2020-11-05,3966.0,34.0,-18.034677357229000,0.0016068747986848400,1.37755277749079E-05
Avenal_20201105_08_11_FULL,NEGATIVE,6.66975975036066E-05,0.092,0.857,0.051,-0.996,Avenal,Kings,156444.0,[''],2020-10-29,2020-11-05,2020-11-05,472.0,5.0,-15.748568089992400,0.003017054025721660,3.19603180690854E-05
Avenal_20201105_07_12_FULL,NEGATIVE,0.0022894442081451,0.05,0.797,0.153,0.9995,Avenal,Kings,156444.0,[''],2020-10-29,2020-11-05,2020-11-05,472.0,5.0,-8.238610126297210,0.003017054025721660,3.19603180690854E-05
