Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
17,Chino,Prison,State,1,1,-0.999891996383667,-0.999891996383667,-0.999891996383667,-0.999891996383667,-0.999891996383667
34,Chino,Prison,State,1,1,0.937038958072662,0.937038958072662,0.937038958072662,0.937038958072662,0.937038958072662
48,Chino,Prison,State,13,1,-0.999619364738464,-0.999619364738464,-0.999619364738464,-0.999619364738464,-0.999619364738464
49,Chino,Prison,State,23,4,-0.5220531076192860,-0.9999338686466220,-0.522035852074623,0.911576211452484,-0.999955415725708
50,Chino,Prison,State,17,2,-0.999352276325226,-0.9996218979358680,-0.9990826547145850,-0.998813033103943,-0.999891519546509
51,Chino,Prison,State,15,3,-0.9997709790865580,-0.999878346920013,-0.9997045695781710,-0.999556243419647,-0.999903798103332
52,Chino,Prison,State,18,1,-0.608271718025208,-0.608271718025208,-0.608271718025208,-0.608271718025208,-0.608271718025208
62,Chino,Prison,State,12,1,-0.999919772148132,-0.999919772148132,-0.999919772148132,-0.999919772148132,-0.999919772148132
109,Chino,Prison,State,5,5,-0.5865333199501040,-0.997987747192383,-0.604500472545624,0.601748645305634,-0.999624848365784
31,Solano,Prison,State,1,1,-0.999947190284729,-0.999947190284729,-0.999947190284729,-0.999947190284729,-0.999947190284729
41,Solano,Prison,State,2,1,-0.999819934368134,-0.999819934368134,-0.999819934368134,-0.999819934368134,-0.999819934368134
50,Solano,Prison,State,17,3,-0.999427338441213,-0.9999921917915350,-0.9991428554058080,-0.99829763174057,-0.999996304512024
51,Solano,Prison,State,15,2,-0.9996026158332830,-0.9997906982898710,-0.9994145333766940,-0.999226450920105,-0.99997878074646
55,Solano,Prison,State,14,1,-0.998757839202881,-0.998757839202881,-0.998757839202881,-0.998757839202881,-0.998757839202881
60,Solano,Prison,State,26,2,-0.0037752687931060200,-0.501861110329628,0.49431057274341600,0.992396414279938,-0.99994695186615
62,Solano,Prison,State,12,4,-0.5889994502067570,-0.9996008574962620,-0.5887743234634400,0.642700612545013,-0.99994695186615
63,Solano,Prison,State,24,1,-0.999890327453613,-0.999890327453613,-0.999890327453613,-0.999890327453613,-0.999890327453613
64,Solano,Prison,State,12,2,-0.9993495345115660,-0.999651342630386,-0.999047726392746,-0.998745918273926,-0.999953150749206
65,Solano,Prison,State,11,1,-0.937903523445129,-0.937903523445129,-0.937903523445129,-0.937903523445129,-0.937903523445129
69,Solano,Prison,State,58,1,-0.999794185161591,-0.999794185161591,-0.999794185161591,-0.999794185161591,-0.999794185161591
70,Solano,Prison,State,5,1,-0.995193660259247,-0.995193660259247,-0.995193660259247,-0.995193660259247,-0.995193660259247
87,Solano,Prison,State,17,1,-0.99849009513855,-0.99849009513855,-0.99849009513855,-0.99849009513855,-0.99849009513855
39,Donovan,Prison,State,1,1,-0.999787867069244,-0.999787867069244,-0.999787867069244,-0.999787867069244,-0.999787867069244
48,Donovan,Prison,State,13,2,-0.9996388256549840,-0.9997888356447220,-0.9994888156652450,-0.999338805675507,-0.99993884563446
53,Donovan,Prison,State,16,3,-0.9984098076820370,-0.999965488910675,-0.997625082731247,-0.995298445224762,-0.999979257583618
54,Donovan,Prison,State,15,2,-0.9894038736820230,-0.9946996122598650,-0.9841081351041800,-0.978812396526337,-0.999995350837708
63,Donovan,Prison,State,24,1,0.723313868045807,0.723313868045807,0.723313868045807,0.723313868045807,0.723313868045807
65,Donovan,Prison,State,11,1,-0.999533653259277,-0.999533653259277,-0.999533653259277,-0.999533653259277,-0.999533653259277
68,Donovan,Prison,State,51,5,-0.6596956849098200,-0.999187171459198,-0.912139058113098,0.590237498283386,-0.999988198280334
69,Donovan,Prison,State,58,10,-0.3799225926399230,-0.9999407529830930,0.4327488690614700,0.975836992263794,-0.999990224838257
70,Donovan,Prison,State,5,2,-0.05622225999832150,-0.5279763936996460,0.4155318737030030,0.887286007404327,-0.99973052740097
41,Vacaville,Prison,State,2,1,-0.998925387859344,-0.998925387859344,-0.998925387859344,-0.998925387859344,-0.998925387859344
45,Vacaville,Prison,State,12,1,-0.999996900558472,-0.999996900558472,-0.999996900558472,-0.999996900558472,-0.999996900558472
47,Vacaville,Prison,State,10,1,-0.9999920129776,-0.9999920129776,-0.9999920129776,-0.9999920129776,-0.9999920129776
51,Vacaville,Prison,State,15,1,-0.85570502281189,-0.85570502281189,-0.85570502281189,-0.85570502281189,-0.85570502281189
53,Vacaville,Prison,State,16,1,-0.999844789505005,-0.999844789505005,-0.999844789505005,-0.999844789505005,-0.999844789505005
54,Vacaville,Prison,State,15,1,-0.999976873397827,-0.999976873397827,-0.999976873397827,-0.999976873397827,-0.999976873397827
69,Vacaville,Prison,State,58,8,-0.9906150251626970,-0.9999738931655890,-0.9947600215673450,-0.943838179111481,-0.999993324279785
79,Vacaville,Prison,State,1,1,-0.997069418430328,-0.997069418430328,-0.997069418430328,-0.997069418430328,-0.997069418430328
85,Vacaville,Prison,State,2,1,-0.999922037124634,-0.999922037124634,-0.999922037124634,-0.999922037124634,-0.999922037124634
104,Vacaville,Prison,State,5,1,-0.999851822853088,-0.999851822853088,-0.999851822853088,-0.999851822853088,-0.999851822853088
106,Vacaville,Prison,State,3,1,-0.999981045722961,-0.999981045722961,-0.999981045722961,-0.999981045722961,-0.999981045722961
43,Soledad,Prison,State,4,1,-0.993549048900604,-0.993549048900604,-0.993549048900604,-0.993549048900604,-0.993549048900604
47,Soledad,Prison,State,10,1,-0.999803483486176,-0.999803483486176,-0.999803483486176,-0.999803483486176,-0.999803483486176
50,Soledad,Prison,State,17,2,-0.980671286582947,-0.990318834781647,-0.971023738384247,-0.961376190185547,-0.999966382980347
51,Soledad,Prison,State,15,1,-0.99992847442627,-0.99992847442627,-0.99992847442627,-0.99992847442627,-0.99992847442627
52,Soledad,Prison,State,18,9,-0.7305719984902280,-0.999888062477112,-0.832516670227051,0.850258529186249,-0.999990940093994
53,Soledad,Prison,State,16,6,-0.3815143605073300,-0.9996110349893570,0.3314705193042760,0.933736443519592,-0.999846696853638
54,Soledad,Prison,State,15,2,-0.999906927347183,-0.9999523907899850,-0.9998614639043810,-0.999816000461578,-0.999997854232788
55,Soledad,Prison,State,14,2,-0.997960925102234,-0.998840719461441,-0.997081130743027,-0.99620133638382,-0.999720513820648
58,Soledad,Prison,State,16,1,-0.954074859619141,-0.954074859619141,-0.954074859619141,-0.954074859619141,-0.954074859619141
64,Soledad,Prison,State,12,1,-0.94058084487915,-0.94058084487915,-0.94058084487915,-0.94058084487915,-0.94058084487915
66,Soledad,Prison,State,4,1,-0.999322295188904,-0.999322295188904,-0.999322295188904,-0.999322295188904,-0.999322295188904
67,Soledad,Prison,State,12,1,0.504869103431702,0.504869103431702,0.504869103431702,0.504869103431702,0.504869103431702
43,SanQuentin,Prison,State,4,1,-0.999991655349731,-0.999991655349731,-0.999991655349731,-0.999991655349731,-0.999991655349731
44,SanQuentin,Prison,State,12,2,-0.998938590288162,-0.9994646459817890,-0.9984125345945360,-0.997886478900909,-0.999990701675415
45,SanQuentin,Prison,State,12,2,-0.999816954135895,-0.999900132417679,-0.9997337758541110,-0.999650597572327,-0.999983310699463
48,SanQuentin,Prison,State,13,1,-0.999952673912049,-0.999952673912049,-0.999952673912049,-0.999952673912049,-0.999952673912049
51,SanQuentin,Prison,State,15,2,-0.02565190196037300,-0.5125057846307760,0.4612019807100300,0.948055863380432,-0.999359667301178
