Location,County
Alameda_SantaRita,Alameda
Amador_Main,Amador
Avenal,Kings
Butte_Main,Butte
CaliforniaCity,Kern
Calipatria,Imperial
Centinela,Imperial
Chino,San Bernardino
Chowchilla,Madera
Chuckawalla,Riverside
CIW,San Bernardino
CMC,San Luis Obispo
Corcoran,Kings
CSATF,Kings
FireCamps,California
Folsom,Sacramento
Fresno_Main,Fresno
Fresno_Mendota,Fresno
High Desert State Prison,Lassen
Ironwood,Riverside
Jamestown,Tuolumne
Kern_GSAnnex,Kern
Kern Valley State Prison,Kern
Kings_Main,Kings
Lancaster,Los Angeles
LosAngeles_MensCentral,Los Angeles
LosAngeles_Metropolitan,Los Angeles
LosAngeles_TwinTowers,Los Angeles
Merced_Latorraca,Merced
Merced_Main,Merced
Merced_USPAtwater,Merced
Mule Creek,Amador
NewFolsom,Sacramento
Norco,Riverside
NorthKern,Kern
Orange_Central,Orange
PelicanBay,Fresno
Pleasant Valley,Riverside
Riverside_Benoit,Riverside
Riverside_Blythe,Riverside
Riverside_Byrd,Riverside
Riverside_Presley,Riverside
Riverside_Smith,Riverside
Riverside_unspecified,Riverside
SalinasValley,Monterey
San Quentin,Marin
SanBernadino_WestValley,San Bernardino
SanBernardino_Central,San Bernardino
SanJoaquin_Main,San Joaquin
SantaClara_Elmwood,Santa Clara
SantaClara_Main,Santa Clara
SCC,Tuolumne
Solano,Solano
Soledad,Monterey
Sonoma_Main,Sonoma
Stockton,San Joaquin
Susanville,Lassen
Tehachapi,Kern
Tracy,San Joaquin
Tulare_BobWiley,Tulare
Tulare_Main,Tulare
Tulare_SouthCounty,Tulare
USP_Victorville,San Bernardino
Vacaville,Solano
Valley State,Madera
Ventura_Main,Ventura
Ventura_Todd,Ventura
Wasco,Kern
Yuba,Yuba
Orange_TheoLacy,Orange
