Start Date,End Date,Period Type,Period Number
2019-12-30,2019-12-31,Monthly,0
2020-01-01,2020-01-31,Monthly,1
2020-02-01,2020-02-29,Monthly,2
2020-03-01,2020-03-31,Monthly,3
2020-04-01,2020-04-30,Monthly,4
2020-05-01,2020-05-31,Monthly,5
2020-06-01,2020-06-30,Monthly,6
2020-07-01,2020-07-31,Monthly,7
2020-08-01,2020-08-31,Monthly,8
2020-09-01,2020-09-30,Monthly,9
2020-10-01,2020-10-31,Monthly,10
2020-11-01,2020-11-30,Monthly,11
2020-12-01,2020-12-31,Monthly,12
2021-01-01,2021-01-31,Monthly,13
2021-02-01,2021-02-28,Monthly,14
2021-03-01,2021-03-31,Monthly,15
2021-04-01,2021-04-30,Monthly,16
2021-05-01,2021-05-31,Monthly,17
2021-06-01,2021-06-30,Monthly,18
2021-07-01,2021-07-31,Monthly,19
2021-08-01,2021-08-31,Monthly,20
2021-09-01,2021-09-30,Monthly,21
2021-10-01,2021-10-31,Monthly,22
2021-11-01,2021-11-30,Monthly,23
2021-12-01,2021-12-31,Monthly,24
2022-01-01,2022-01-31,Monthly,25
2022-02-01,2022-02-28,Monthly,26
2022-03-01,2022-03-31,Monthly,27
2022-04-01,2022-04-30,Monthly,28
2022-05-01,2022-05-31,Monthly,29
2022-06-01,2022-06-30,Monthly,30
2022-07-01,2022-07-31,Monthly,31
2022-08-01,2022-08-31,Monthly,32
2022-09-01,2022-09-30,Monthly,33
2022-10-01,2022-10-31,Monthly,34
2022-11-01,2022-11-30,Monthly,35
2022-12-01,2022-12-31,Monthly,36
2023-01-01,2023-01-31,Monthly,37
2023-02-01,2023-02-28,Monthly,38
2023-03-01,2023-03-31,Monthly,39
2023-04-01,2023-04-30,Monthly,40
2023-05-01,2023-05-31,Monthly,41
2023-06-01,2023-06-30,Monthly,42
2023-07-01,2023-07-31,Monthly,43
2023-08-01,2023-08-31,Monthly,44
2023-09-01,2023-09-30,Monthly,45
2023-10-01,2023-10-31,Monthly,46
2023-11-01,2023-11-30,Monthly,47
2023-12-01,2023-12-31,Monthly,48
