Location,County,Level,Type
Alameda_SantaRita,Alameda,County,Jail
Amador_Main,Amador,County,Jail
Avenal,Kings,State,Prison
Butte_Main,Butte,County,Jail
CaliforniaCity,Kern,State,Prison
Calipatria,Imperial,State,Prison
Centinela,Imperial,State,Prison
Chino,San Bernardino,State,Prison
Chowchilla,Madera,State,Prison
Chuckawalla,Riverside,State,Prison
CIW,San Bernardino,State,Prison
CMC,San Luis Obispo,State,Prison
Corcoran,Kings,State,Prison
CSATF,Kings,State,Prison
FireCamps,California,State,Department
Folsom,Sacramento,State,Prison
Fresno_Main,Fresno,County,Jail
Fresno_Mendota,Fresno,Federal,Prison
High Desert,Lassen,State,Prison
Ironwood,Riverside,State,Prison
Jamestown,Tuolumne,State,Prison
Kern_GSAnnex,Kern,State,Prison
KernValley,Kern,State,Prison
Kings_Main,Kings,County,Jail
Lancaster,Los Angeles,State,Prison
LosAngeles_MensCentral,Los Angeles,County,Jail
LosAngeles_Metropolitan,Los Angeles,County,Jail
LosAngeles_TwinTowers,Los Angeles,County,Jail
Merced_Latorraca,Merced,County,Jail
Merced_Main,Merced,County,Jail
Merced_USPAtwater,Merced,Federal,Prison
Mule Creek,Amador,State,Prison
NewFolsom,Sacramento,State,Prison
Norco,Riverside,State,Prison
NorthKern,Kern,State,Prison
Orange_Central,Orange,County,Jail
PelicanBay,Fresno,State,Prison
Pleasant Valley,Riverside,State,Prison
Riverside_Benoit,Riverside,County,Jail
Riverside_Blythe,Riverside,County,Jail
Riverside_Byrd,Riverside,County,Jail
Riverside_Presley,Riverside,County,Jail
Riverside_Smith,Riverside,County,Jail
Riverside_unspecified,Riverside,County,Jail
SalinasValley,Monterey,State,Prison
SanQuentin,Marin,State,Prison
SanBernadino_WestValley,San Bernardino,County,Jail
SanBernardino_Central,San Bernardino,County,Jail
SanJoaquin_Main,San Joaquin,County,Jail
SantaClara_Elmwood,Santa Clara,County,Jail
SantaClara_Main,Santa Clara,County,Jail
Solano,Solano,State,Prison
Soledad,Monterey,State,Prison
Sonoma_Main,Sonoma,County,Jail
Stockton,San Joaquin,State,Prison
Susanville,Lassen,State,Prison
Tehachapi,Kern,State,Prison
Tracy,San Joaquin,State,Prison
Tulare_BobWiley,Tulare,County,Jail
Tulare_Main,Tulare,County,Jail
Tulare_SouthCounty,Tulare,County,Jail
USP_Victorville,San Bernardino,Federal,Prison
Vacaville,Solano,State,Prison
Valley State,Madera,State,Prison
Ventura_Main,Ventura,County,Jail
Ventura_Todd,Ventura,County,Jail
Wasco,Kern,State,Prison
Yuba,Yuba,County,Jail
Orange_TheoLacy,Orange,County,Jail
Donovan,San Diego,State,Prison
Delano,Kern,State,Prison
Merced_Latorraca ,Merced,County,Jail
