Week_Number,total,Month_Number,month_total
47,1,Month 12,1
67,7,Month 17,22
68,15,Month 17,22
69,5,Month 18,8
70,1,Month 18,8
71,1,Month 18,8
72,1,Month 18,8
74,30,Month 19,72
75,24,Month 19,72
76,18,Month 19,72
77,6,Month 20,6
84,1,Month 21,1
85,1,Month 22,31
86,3,Month 22,31
87,12,Month 22,31
88,15,Month 22,31
89,22,Month 23,39
90,4,Month 23,39
91,2,Month 23,39
92,11,Month 23,39
93,2,Month 24,6
94,1,Month 24,6
96,3,Month 24,6
97,12,Month 25,23
98,4,Month 25,23
100,7,Month 25,23
101,6,Month 26,16
102,2,Month 26,16
103,6,Month 26,16
104,2,Month 26,16
105,7,Month 27,8
106,1,Month 27,8
110,2,Month 28,4
112,2,Month 28,4
113,1,Month 29,1
