Facility Name,Week_Number,Positive_Count,Negative_Count,Overall Count,Jail Count,Overall Positive Ratio,Overall Negative Ratio,Jail Positive Ratio,Jail Negative Ratio,Type,positive_ratio,negative_ratio
Alameda_SantaRita,70,0,1,5,1,0,0.2,0,1,Jail,0,1
Alameda_SantaRita,96,0,1,5,1,0,0.2,0,1,Jail,0,2.5
Tulare_SouthCounty,96,0,4,5,4,0,0.8,0,1,Jail,0,2.5
Alameda_SantaRita,97,0,1,22,1,0,0.045454545,0,1,Jail,0,5.5
Tulare_BobWiley,97,0,1,22,1,0,0.045454545,0,1,Jail,0,5.5
Ventura_Main,97,0,4,22,4,0,0.181818182,0,1,Jail,0,5.5
Ventura_Todd,97,0,16,22,16,0,0.727272727,0,1,Jail,0,5.5
Alameda_SantaRita,98,0,1,7,1,0,0.142857143,0,1,Jail,0,2
LosAngeles_MensCentral,98,0,1,7,1,0,0.142857143,0,1,Jail,0,2
Ventura_Main,98,0,4,7,4,0,0.571428571,0,1,Jail,0,2
Alameda_SantaRita,101,0,2,10,2,0,0.2,0,1,Jail,0,5
SantaClara_Elmwood,101,0,8,10,8,0,0.8,0,1,Jail,0,5
Alameda_SantaRita,106,0,1,3,1,0,0.333333333,0,1,Jail,0,1
Alameda_SantaRita,112,0,2,2,2,0,1,0,1,Jail,0,2
Amador_Main,87,0,1,17,1,0,0.058823529,0,1,Jail,0,3.2
Fresno_Main,87,0,3,17,3,0,0.176470588,0,1,Jail,0,3.2
LosAngeles_Metropolitan,87,0,8,17,8,0,0.470588235,0,1,Jail,0,3.2
SanJoaquin_Main,87,0,3,17,3,0,0.176470588,0,1,Jail,0,3.2
Yuba,87,0,1,17,1,0,0.058823529,0,1,Jail,0,3.2
Amador_Main,89,0,1,77,1,0,0.012987013,0,1,Jail,0.142857143,7.571428571
Fresno_Main,89,0,3,77,3,0,0.038961039,0,1,Jail,0.142857143,7.571428571
