Week_Number,total,Month_Number,month_total
17,1,Month 5,1
31,1,Month 8,1
34,1,Month 9,1
39,1,Month 10,1
41,2,Month 11,18
43,4,Month 11,18
44,12,Month 11,18
45,12,Month 12,32
46,2,Month 12,32
47,9,Month 12,32
48,9,Month 12,32
49,23,Month 13,71
50,15,Month 13,71
51,15,Month 13,71
52,18,Month 13,71
53,15,Month 14,54
54,14,Month 14,54
55,14,Month 14,54
56,11,Month 14,54
57,11,Month 15,64
58,16,Month 15,64
59,11,Month 15,64
60,26,Month 15,64
61,4,Month 16,52
62,12,Month 16,52
63,24,Month 16,52
64,12,Month 16,52
65,11,Month 17,56
66,4,Month 17,56
67,5,Month 17,56
68,36,Month 17,56
69,53,Month 18,69
70,4,Month 18,69
71,5,Month 18,69
72,7,Month 18,69
73,1,Month 19,7
74,1,Month 19,7
75,3,Month 19,7
76,2,Month 19,7
79,1,Month 20,1
84,4,Month 21,4
85,1,Month 22,14
86,2,Month 22,14
87,1,Month 22,14
88,10,Month 22,14
89,11,Month 23,16
90,4,Month 23,16
92,1,Month 23,16
98,1,Month 25,2
99,1,Month 25,2
104,1,Month 26,1
106,2,Month 27,2
109,5,Month 28,7
110,2,Month 28,7
