Week by Number,Week Number,Start Date,End Date
0,Week 0,2019-12-30,2020-01-05
1,Week 1,2020-01-06,2020-01-12
2,Week 2,2020-01-13,2020-01-19
3,Week 3,2020-01-20,2020-01-26
4,Week 4,2020-01-27,2020-02-02
5,Week 5,2020-02-03,2020-02-09
6,Week 6,2020-02-10,2020-02-16
7,Week 7,2020-02-17,2020-02-23
8,Week 8,2020-02-24,2020-03-01
9,Week 9,2020-03-02,2020-03-08
10,Week 10,2020-03-09,2020-03-15
11,Week 11,2020-03-16,2020-03-22
12,Week 12,2020-03-23,2020-03-29
13,Week 13,2020-03-30,2020-04-05
14,Week 14,2020-04-06,2020-04-12
15,Week 15,2020-04-13,2020-04-19
16,Week 16,2020-04-20,2020-04-26
17,Week 17,2020-04-27,2020-05-03
18,Week 18,2020-05-04,2020-05-10
19,Week 19,2020-05-11,2020-05-17
20,Week 20,2020-05-18,2020-05-24
21,Week 21,2020-05-25,2020-05-31
22,Week 22,2020-06-01,2020-06-07
23,Week 23,2020-06-08,2020-06-14
24,Week 24,2020-06-15,2020-06-21
25,Week 25,2020-06-22,2020-06-28
26,Week 26,2020-06-29,2020-07-05
27,Week 27,2020-07-06,2020-07-12
28,Week 28,2020-07-13,2020-07-19
29,Week 29,2020-07-20,2020-07-26
30,Week 30,2020-07-27,2020-08-02
31,Week 31,2020-08-03,2020-08-09
32,Week 32,2020-08-10,2020-08-16
33,Week 33,2020-08-17,2020-08-23
34,Week 34,2020-08-24,2020-08-30
35,Week 35,2020-08-31,2020-09-06
36,Week 36,2020-09-07,2020-09-13
37,Week 37,2020-09-14,2020-09-20
38,Week 38,2020-09-21,2020-09-27
39,Week 39,2020-09-28,2020-10-04
40,Week 40,2020-10-05,2020-10-11
41,Week 41,2020-10-12,2020-10-18
42,Week 42,2020-10-19,2020-10-25
43,Week 43,2020-10-26,2020-11-01
44,Week 44,2020-11-02,2020-11-08
45,Week 45,2020-11-09,2020-11-15
46,Week 46,2020-11-16,2020-11-22
47,Week 47,2020-11-23,2020-11-29
48,Week 48,2020-11-30,2020-12-06
49,Week 49,2020-12-07,2020-12-13
50,Week 50,2020-12-14,2020-12-20
51,Week 51,2020-12-21,2020-12-27
52,Week 52,2020-12-28,2021-01-03
53,Week 53,2021-01-04,2021-01-10
