FlairSentiment,const,Week Number,case number,death number,Type_Prison,Level_Federal,Level_State,Type_case number,Type_death number
0,1.0,17,150.0,0.0,1,0,1,150.0,0.0
1,1.0,34,1.0,0.0,1,0,1,1.0,0.0
0,1.0,48,3.0,0.0,1,0,1,3.0,0.0
0,1.0,49,0.0,0.0,1,0,1,0.0,0.0
0,1.0,49,0.0,0.0,1,0,1,0.0,0.0
1,1.0,49,0.0,0.0,1,0,1,0.0,0.0
0,1.0,49,0.0,0.0,1,0,1,0.0,0.0
0,1.0,50,9.0,0.0,1,0,1,9.0,0.0
0,1.0,50,9.0,0.0,1,0,1,9.0,0.0
0,1.0,51,34.0,0.0,1,0,1,34.0,0.0
0,1.0,51,34.0,0.0,1,0,1,34.0,0.0
0,1.0,51,34.0,0.0,1,0,1,34.0,0.0
0,1.0,52,26.0,0.0,1,0,1,26.0,0.0
0,1.0,62,1.0,0.0,1,0,1,1.0,0.0
1,1.0,109,42.0,0.0,1,0,1,42.0,0.0
0,1.0,109,42.0,0.0,1,0,1,42.0,0.0
0,1.0,109,42.0,0.0,1,0,1,42.0,0.0
0,1.0,109,42.0,0.0,1,0,1,42.0,0.0
0,1.0,109,42.0,0.0,1,0,1,42.0,0.0
0,1.0,31,0.0,0.0,1,0,1,0.0,0.0
0,1.0,41,0.0,0.0,1,0,1,0.0,0.0
0,1.0,50,140.0,0.0,1,0,1,140.0,0.0
0,1.0,50,140.0,0.0,1,0,1,140.0,0.0
0,1.0,50,140.0,0.0,1,0,1,140.0,0.0
0,1.0,51,151.0,0.0,1,0,1,151.0,0.0
0,1.0,51,151.0,0.0,1,0,1,151.0,0.0
0,1.0,55,184.0,0.0,1,0,1,184.0,0.0
1,1.0,60,0.0,0.0,1,0,1,0.0,0.0
0,1.0,60,0.0,0.0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,1,0,1,0.0,0.0
1,1.0,62,0.0,0.0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,1,0,1,0.0,0.0
0,1.0,63,1.0,0.0,1,0,1,1.0,0.0
0,1.0,64,1.0,0.0,1,0,1,1.0,0.0
0,1.0,64,1.0,0.0,1,0,1,1.0,0.0
0,1.0,65,0.0,0.0,1,0,1,0.0,0.0
0,1.0,69,1.0,0.0,1,0,1,1.0,0.0
0,1.0,70,0.0,0.0,1,0,1,0.0,0.0
0,1.0,87,15.0,0.0,1,0,1,15.0,0.0
0,1.0,39,0.0,0.0,1,0,1,0.0,0.0
0,1.0,48,198.0,0.0,1,0,1,198.0,0.0
0,1.0,48,198.0,0.0,1,0,1,198.0,0.0
0,1.0,53,52.0,4.0,1,0,1,52.0,4.0
0,1.0,53,52.0,4.0,1,0,1,52.0,4.0
0,1.0,53,52.0,4.0,1,0,1,52.0,4.0
0,1.0,54,5.0,1.0,1,0,1,5.0,1.0
0,1.0,54,5.0,1.0,1,0,1,5.0,1.0
1,1.0,63,0.0,0.0,1,0,1,0.0,0.0
0,1.0,65,0.0,0.0,1,0,1,0.0,0.0
0,1.0,68,0.0,0.0,1,0,1,0.0,0.0
1,1.0,68,0.0,0.0,1,0,1,0.0,0.0
