Facility Name,Week Number,Positive_Count,Negative_Count,Overall Count_x,Prison Count,Overall Positive Ratio,Overall Negative Ratio,Prison Positive Ratio,Prison Negative Ratio,Prison Case Number_x,Prison Death Number_x,Prison File Count_x,Overall Count_y,Type_x,_merge,County,Level,Prison Case Number_y,Prison Death Number_y,Prison File Count_y,Overall Count,Type_y
Alameda_SantaRita,70,0,1,5,1,0.0,0.2,0.0,1.0,486.0,5.0,1,5,Jail,both,Alameda,County,486.0,5.0,1,5,Jail
Donovan,70,1,1,5,2,0.2,0.2,0.5,0.5,0.0,0.0,2,5,Prison,both,San Diego,State,0.0,0.0,2,5,Prison
NewFolsom,70,0,1,5,1,0.0,0.2,0.0,1.0,0.0,0.0,1,5,Prison,both,Sacramento,State,0.0,0.0,1,5,Prison
Solano,70,0,1,5,1,0.0,0.2,0.0,1.0,0.0,0.0,1,5,Prison,both,Solano,State,0.0,0.0,1,5,Prison
Alameda_SantaRita,96,0,1,5,1,0.0,0.2,0.0,1.0,831.0,9.0,1,5,Jail,both,Alameda,County,831.0,9.0,1,5,Jail
Tulare_SouthCounty,96,0,4,5,4,0.0,0.8,0.0,1.0,3324.0,120.0,4,5,Jail,both,Tulare,County,3324.0,120.0,4,5,Jail
Alameda_SantaRita,97,0,1,22,1,0.0,0.0454545454545454,0.0,1.0,820.0,5.0,1,22,Jail,both,Alameda,County,820.0,5.0,1,22,Jail
Tulare_BobWiley,97,0,1,22,1,0.0,0.0454545454545454,0.0,1.0,641.0,33.0,1,22,Jail,both,Tulare,County,641.0,33.0,1,22,Jail
Ventura_Main,97,0,4,22,4,0.0,0.1818181818181818,0.0,1.0,2140.0,20.0,4,22,Jail,both,Ventura,County,2140.0,20.0,4,22,Jail
Ventura_Todd,97,0,16,22,16,0.0,0.7272727272727273,0.0,1.0,8560.0,80.0,16,22,Jail,both,Ventura,County,8560.0,80.0,16,22,Jail
Alameda_SantaRita,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,855.0,6.0,1,7,Jail,both,Alameda,County,855.0,6.0,1,7,Jail
LosAngeles_MensCentral,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,7113.0,85.0,1,7,Jail,both,Los Angeles,County,7113.0,85.0,1,7,Jail
NewFolsom,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,0.0,0.0,1,7,Prison,both,Sacramento,State,0.0,0.0,1,7,Prison
Ventura_Main,98,0,4,7,4,0.0,0.5714285714285714,0.0,1.0,2100.0,28.0,4,7,Jail,both,Ventura,County,2100.0,28.0,4,7,Jail
Alameda_SantaRita,101,0,2,10,2,0.0,0.2,0.0,1.0,2170.0,14.0,2,10,Jail,both,Alameda,County,2170.0,14.0,2,10,Jail
SantaClara_Elmwood,101,0,8,10,8,0.0,0.8,0.0,1.0,11176.0,48.0,8,10,Jail,both,Santa Clara,County,11176.0,48.0,8,10,Jail
Alameda_SantaRita,106,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,26169.0,29.0,1,3,Jail,both,Alameda,County,26169.0,29.0,1,3,Jail
NewFolsom,106,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,23.0,0.0,1,3,Prison,both,Sacramento,State,23.0,0.0,1,3,Prison
Vacaville,106,0,1,3,1,0.0,0.3333333333333333,0.0,1.0,13.0,0.0,1,3,Prison,both,Solano,State,13.0,0.0,1,3,Prison
Alameda_SantaRita,112,0,2,2,2,0.0,1.0,0.0,1.0,2862.0,28.0,2,2,Jail,both,Alameda,County,2862.0,28.0,2,2,Jail
Amador_Main,87,0,1,17,1,0.0,0.0588235294117647,0.0,1.0,118.0,3.0,1,17,Jail,both,Amador,County,118.0,3.0,1,17,Jail
Fresno_Main,87,0,3,17,3,0.0,0.1764705882352941,0.0,1.0,9774.0,114.0,3,17,Jail,both,Fresno,County,9774.0,114.0,3,17,Jail
LosAngeles_Metropolitan,87,0,8,17,8,0.0,0.4705882352941176,0.0,1.0,113744.0,1760.0,8,17,Jail,both,Los Angeles,County,113744.0,1760.0,8,17,Jail
SanJoaquin_Main,87,0,3,17,3,0.0,0.1764705882352941,0.0,1.0,6294.0,120.0,3,17,Jail,both,San Joaquin,County,6294.0,120.0,3,17,Jail
Solano,87,0,1,17,1,0.0,0.0588235294117647,0.0,1.0,15.0,0.0,1,17,Prison,both,Solano,State,15.0,0.0,1,17,Prison
Yuba,87,0,1,17,1,0.0,0.0588235294117647,0.0,1.0,374.0,2.0,1,17,Jail,both,Yuba,County,374.0,2.0,1,17,Jail
Amador_Main,89,0,1,77,1,0.0,0.0129870129870129,0.0,1.0,113.0,0.0,1,77,Jail,both,Amador,County,113.0,0.0,1,77,Jail
Avenal,89,0,3,77,3,0.0,0.0389610389610389,0.0,1.0,0.0,0.0,3,77,Prison,both,Kings,State,0.0,0.0,3,77,Prison
Chowchilla,89,0,1,77,1,0.0,0.0129870129870129,0.0,1.0,2.0,0.0,1,77,Prison,both,Madera,State,2.0,0.0,1,77,Prison
Fresno_Main,89,0,3,77,3,0.0,0.0389610389610389,0.0,1.0,7686.0,117.0,3,77,Jail,both,Fresno,County,7686.0,117.0,3,77,Jail
Fresno_Mendota,89,0,1,77,1,0.0,0.0129870129870129,0.0,1.0,2562.0,39.0,1,77,Prison,both,Fresno,Federal,2562.0,39.0,1,77,Prison
LosAngeles_Metropolitan,89,0,4,77,4,0.0,0.0519480519480519,0.0,1.0,41592.0,604.0,4,77,Jail,both,Los Angeles,County,41592.0,604.0,4,77,Jail
Merced_Latorraca,89,0,9,77,9,0.0,0.1168831168831168,0.0,1.0,6957.0,108.0,9,77,Jail,both,Merced,County,6957.0,108.0,9,77,Jail
Merced_Latorraca ,89,0,9,77,9,0.0,0.1168831168831168,0.0,1.0,6957.0,108.0,9,77,Jail,both,Merced,County,6957.0,108.0,9,77,Jail
Merced_Main,89,0,27,77,27,0.0,0.3506493506493506,0.0,1.0,20871.0,324.0,27,77,Jail,both,Merced,County,20871.0,324.0,27,77,Jail
Merced_USPAtwater,89,9,9,77,18,0.1168831168831168,0.1168831168831168,0.5,0.5,13914.0,216.0,18,77,Prison,both,Merced,Federal,13914.0,216.0,18,77,Prison
SanJoaquin_Main,89,1,0,77,1,0.0129870129870129,0.0,1.0,0.0,1615.0,39.0,1,77,Jail,both,San Joaquin,County,1615.0,39.0,1,77,Jail
Avenal,43,0,1,4,1,0.0,0.25,0.0,1.0,3.0,1.0,1,4,Prison,both,Kings,State,3.0,1.0,1,4,Prison
Lancaster,43,0,1,4,1,0.0,0.25,0.0,1.0,1.0,0.0,1,4,Prison,both,Los Angeles,State,1.0,0.0,1,4,Prison
SanQuentin,43,0,1,4,1,0.0,0.25,0.0,1.0,0.0,0.0,1,4,Prison,both,Marin,State,0.0,0.0,1,4,Prison
Soledad,43,0,1,4,1,0.0,0.25,0.0,1.0,30.0,0.0,1,4,Prison,both,Monterey,State,30.0,0.0,1,4,Prison
Avenal,44,0,3,12,3,0.0,0.25,0.0,1.0,24.0,0.0,3,12,Prison,both,Kings,State,24.0,0.0,3,12,Prison
Chuckawalla,44,0,5,12,5,0.0,0.4166666666666667,0.0,1.0,520.0,5.0,5,12,Prison,both,Riverside,State,520.0,5.0,5,12,Prison
Corcoran,44,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,1.0,0.0,1,12,Prison,both,Kings,State,1.0,0.0,1,12,Prison
Norco,44,0,1,12,1,0.0,0.0833333333333333,0.0,1.0,8.0,0.0,1,12,Prison,both,Riverside,State,8.0,0.0,1,12,Prison
SanQuentin,44,0,2,12,2,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,2,12,Prison,both,Marin,State,0.0,0.0,2,12,Prison
