Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,death number,Persent Occupied
Chino_20200430_72_FULL,2020-04-30,0,NEGATIVE,-0.999891996383667,0.094,0.842,0.064,-0.9494,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],17,2020-04-27,2020-05-03,150.0,0.0,147.8
Chino_20200828_136_FULL,2020-08-28,1,POSITIVE,0.9370389580726624,0.066,0.677,0.257,0.9966,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],34,2020-08-24,2020-08-30,1.0,0.0,147.8
Chino_20201201_104_FULL,2020-12-01,0,NEGATIVE,-0.9996193647384644,0.083,0.776,0.141,0.9871,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],48,2020-11-30,2020-12-06,3.0,0.0,147.8
Chino_20201208_05_53_FULL,2020-12-08,0,NEGATIVE,-0.999955415725708,0.102,0.845,0.052,-0.9986,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],49,2020-12-07,2020-12-13,0.0,0.0,147.8
Chino_20201209_05_35_FULL_PrisonConditions,2020-12-09,0,NEGATIVE,-0.9999266862869264,0.212,0.788,0.0,-0.8658,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,['Prison Conditions'],49,2020-12-07,2020-12-13,0.0,0.0,147.8
Chino_20201209_139_FullPrograms,2020-12-09,1,POSITIVE,0.911576211452484,0.04,0.84,0.12,0.9093,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,['Programs'],49,2020-12-07,2020-12-13,0.0,0.0,147.8
Chino_20201211_0615_FULL,2020-12-11,0,NEGATIVE,-0.9999065399169922,0.108,0.815,0.077,-0.978,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],49,2020-12-07,2020-12-13,0.0,0.0,147.8
Chino_20201216_06_02_FULL,2020-12-16,0,NEGATIVE,-0.9998915195465088,0.069,0.815,0.116,0.9988,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],50,2020-12-14,2020-12-20,9.0,0.0,147.8
Chino_20201218_174_FULL,2020-12-18,0,NEGATIVE,-0.9988130331039428,0.045,0.846,0.109,0.9608,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,"['Prison Conditions', ' Stress']",50,2020-12-14,2020-12-20,9.0,0.0,147.8
Chino_20201223_208_Full,2020-12-23,0,NEGATIVE,-0.9995562434196472,0.098,0.759,0.143,0.9861,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,"['Family', ' Stress', ' Prison Conditions']",51,2020-12-21,2020-12-27,34.0,0.0,147.8
Chino_20201223_207_FULL,2020-12-23,0,NEGATIVE,-0.9998528957366944,0.121,0.814,0.064,-0.9951,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],51,2020-12-21,2020-12-27,34.0,0.0,147.8
Chino_20201223_209_FULL,2020-12-23,0,NEGATIVE,-0.9999037981033324,0.084,0.817,0.099,0.9587,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],51,2020-12-21,2020-12-27,34.0,0.0,147.8
Chino_20201231_186_FULL,2020-12-31,0,NEGATIVE,-0.6082717180252075,0.142,0.74,0.117,-0.9921,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],52,2020-12-28,2021-01-03,26.0,0.0,147.8
Chino_20210312_659_FULL_PrisonConditions_Stress,2021-03-12,0,NEGATIVE,-0.9999197721481324,0.131,0.777,0.092,-0.9348,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,"['Prison Conditions', ' Stress', ' Featured']",62,2021-03-08,2021-03-14,1.0,0.0,147.8
Chino_20220204_43800_FULL,2022-02-04,1,POSITIVE,0.6017486453056335,0.065,0.707,0.228,0.9999,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],109,2022-01-31,2022-02-06,42.0,0.0,147.8
Chino_20220204_15904_FULL,2022-02-04,0,NEGATIVE,-0.932302176952362,0.041,0.787,0.172,0.9958,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],109,2022-01-31,2022-02-06,42.0,0.0,147.8
Chino_20220204_94412_FULL,2022-02-04,0,NEGATIVE,-0.9996248483657836,0.074,0.771,0.155,0.9995,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],109,2022-01-31,2022-02-06,42.0,0.0,147.8
Chino_20220204_68596_FULL,2022-02-04,0,NEGATIVE,-0.9979877471923828,0.043,0.753,0.204,0.9998,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],109,2022-01-31,2022-02-06,42.0,0.0,147.8
Chino_20220204_45125_FULL,2022-02-04,0,NEGATIVE,-0.6045004725456238,0.042,0.838,0.12,0.9991,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],109,2022-01-31,2022-02-06,42.0,0.0,147.8
Solano_20200805_05_00_FULL,2020-08-05,0,NEGATIVE,-0.999947190284729,0.053,0.818,0.129,0.9995,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],31,2020-08-03,2020-08-09,0.0,0.0,143.3
Solano_20201012_0935_FULL,2020-10-12,0,NEGATIVE,-0.9998199343681335,0.07,0.819,0.111,0.9979,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],41,2020-10-12,2020-10-18,0.0,0.0,143.3
Solano_20201214_8_13_FULL,2020-12-14,0,NEGATIVE,-0.999996304512024,0.06,0.832,0.108,0.9974,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],50,2020-12-14,2020-12-20,140.0,0.0,143.3
Solano_20201214_7_54_FULL,2020-12-14,0,NEGATIVE,-0.9999880790710448,0.052,0.885,0.063,0.893,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],50,2020-12-14,2020-12-20,140.0,0.0,143.3
Solano_20201217_05_27_FULL_3calls,2020-12-17,0,NEGATIVE,-0.99829763174057,0.088,0.784,0.128,0.9996,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],50,2020-12-14,2020-12-20,140.0,0.0,143.3
Solano_20201221_06_00_FULL,2020-12-21,0,NEGATIVE,-0.999226450920105,0.047,0.776,0.178,0.9996,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],51,2020-12-21,2020-12-27,151.0,0.0,143.3
