Filename,Date,Week Number,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Location,County,Population,Level,Type,Tags,Start Date,End Date,case number,death number
Chino_20200430_72_FULL,2020-04-30,17,0.094,0.842,0.064,-0.9494,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-04-27,2020-05-03,,
Chino_20200828_136_FULL,2020-08-28,34,0.066,0.677,0.257,0.9966,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-08-24,2020-08-30,,
Chino_20201201_104_FULL,2020-12-01,48,0.083,0.776,0.141,0.9871,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-11-30,2020-12-06,,
Chino_20201208_05_53_FULL,2020-12-08,49,0.102,0.845,0.052,-0.9986,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-07,2020-12-13,,
Chino_20201209_05_35_FULL_PrisonConditions,2020-12-09,49,0.212,0.788,0.0,-0.8658,Chino,Chino,San Bernardino,2217398.0,State,Prison,['Prison Conditions'],2020-12-07,2020-12-13,,
Chino_20201209_139_FullPrograms,2020-12-09,49,0.04,0.84,0.12,0.9093,Chino,Chino,San Bernardino,2217398.0,State,Prison,['Programs'],2020-12-07,2020-12-13,,
Chino_20201211_0615_FULL,2020-12-11,49,0.108,0.815,0.077,-0.978,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-07,2020-12-13,,
Chino_20201216_06_02_FULL,2020-12-16,50,0.069,0.815,0.116,0.9988,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-14,2020-12-20,,
Chino_20201218_174_FULL,2020-12-18,50,0.045,0.846,0.109,0.9608,Chino,Chino,San Bernardino,2217398.0,State,Prison,"['Prison Conditions', ' Stress']",2020-12-14,2020-12-20,,
Chino_20201223_208_Full,2020-12-23,51,0.098,0.759,0.143,0.9861,Chino,Chino,San Bernardino,2217398.0,State,Prison,"['Family', ' Stress', ' Prison Conditions']",2020-12-21,2020-12-27,,
Chino_20201223_207_FULL,2020-12-23,51,0.121,0.814,0.064,-0.9951,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-21,2020-12-27,,
Chino_20201223_209_FULL,2020-12-23,51,0.084,0.817,0.099,0.9587,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-21,2020-12-27,,
Chino_20201231_186_FULL,2020-12-31,52,0.142,0.74,0.117,-0.9921,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2020-12-28,2021-01-03,,
Chino_20210312_659_FULL_PrisonConditions_Stress,2021-03-12,62,0.131,0.777,0.092,-0.9348,Chino,Chino,San Bernardino,2217398.0,State,Prison,"['Prison Conditions', ' Stress', ' Featured']",2021-03-08,2021-03-14,,
Chino_20220204_43800_FULL,2022-02-04,109,0.065,0.707,0.228,0.9999,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2022-01-31,2022-02-06,,
Chino_20220204_15904_FULL,2022-02-04,109,0.041,0.787,0.172,0.9958,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2022-01-31,2022-02-06,,
Chino_20220204_94412_FULL,2022-02-04,109,0.074,0.771,0.155,0.9995,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2022-01-31,2022-02-06,,
Chino_20220204_68596_FULL,2022-02-04,109,0.043,0.753,0.204,0.9998,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2022-01-31,2022-02-06,,
Chino_20220204_45125_FULL,2022-02-04,109,0.042,0.838,0.12,0.9991,Chino,Chino,San Bernardino,2217398.0,State,Prison,[''],2022-01-31,2022-02-06,,
Solano_20200805_05_00_FULL,2020-08-05,31,0.053,0.818,0.129,0.9995,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-08-03,2020-08-09,,
Solano_20201012_0935_FULL,2020-10-12,41,0.07,0.819,0.111,0.9979,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-10-12,2020-10-18,,
Solano_20201214_8_13_FULL,2020-12-14,50,0.06,0.832,0.108,0.9974,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-12-14,2020-12-20,,
Solano_20201214_7_54_FULL,2020-12-14,50,0.052,0.885,0.063,0.893,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-12-14,2020-12-20,,
Solano_20201217_05_27_FULL_3calls,2020-12-17,50,0.088,0.784,0.128,0.9996,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-12-14,2020-12-20,,
Solano_20201221_06_00_FULL,2020-12-21,51,0.047,0.776,0.178,0.9996,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-12-21,2020-12-27,,
Solano_20201221_05_31_FULL,2020-12-21,51,0.067,0.802,0.131,0.9992,Solano,Solano,Solano,444255.0,State,Prison,[''],2020-12-21,2020-12-27,,
Solano_20210123_03_05_FULL,2021-01-23,55,0.068,0.778,0.154,0.9997,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-01-18,2021-01-24,,
Solano_20210224_464_Full_Stress_PrisonConditions_Infection,2021-02-24,60,0.082,0.74,0.178,0.9958,Solano,Solano,Solano,444255.0,State,Prison,"['Stress', ' Prison Conditions', ' Infection']",2021-02-22,2021-02-28,,
Solano_20210225_470_FULL_Infection_Stress_Family,2021-02-25,60,0.081,0.787,0.132,0.7717,Solano,Solano,Solano,444255.0,State,Prison,"['Infection', ' Stress', ' Family']",2021-02-22,2021-02-28,,
Solano_20210308_05_50_FULL,2021-03-08,62,0.072,0.81,0.118,0.9979,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-08,2021-03-14,,
Solano_20210309_652_FULL_StressPrisonConditionsFamily,2021-03-09,62,0.096,0.76,0.144,0.9366,Solano,Solano,Solano,444255.0,State,Prison,"['Stress', ' Prison Conditions', ' Family']",2021-03-08,2021-03-14,,
Solano_20210312_666_FULL,2021-03-12,62,0.094,0.742,0.165,0.9995,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-08,2021-03-14,,
Solano_20210312_663_Full,2021-03-12,62,0.09,0.84,0.07,-0.9934,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-08,2021-03-14,,
Solano_20210317_568_FULL,2021-03-17,63,0.027,0.888,0.086,0.9879,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-15,2021-03-21,,
Solano_20210322_05_04_FULL,2021-03-22,64,0.054,0.804,0.142,0.999,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-22,2021-03-28,,
Solano_20210326_20348_FULL,2021-03-26,64,0.09,0.845,0.065,-0.9794,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-03-22,2021-03-28,,
Solano_20210402_611_FULL_Family_Stress,2021-04-02,65,0.107,0.809,0.083,-0.8576,Solano,Solano,Solano,444255.0,State,Prison,"['Family', ' Stress']",2021-03-29,2021-04-04,,
Solano_20210427_886_FULL,2021-04-27,69,0.122,0.81,0.068,-0.9973,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-04-26,2021-05-02,,
Solano_20210504_737_FULL,2021-05-04,70,0.068,0.846,0.085,0.9313,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-05-03,2021-05-09,,
Solano_20210831_10115_FULL,2021-08-31,87,0.054,0.818,0.129,0.993,Solano,Solano,Solano,444255.0,State,Prison,[''],2021-08-30,2021-09-05,,
Donovan_20201004_05_00_FULL,2020-10-04,39,0.066,0.826,0.108,0.9895,Donovan,Donovan,San Diego,3370418.0,State,Prison,[''],2020-09-28,2020-10-04,,
Donovan_20201130_06_49_FULL,2020-11-30,48,0.058,0.775,0.167,0.9994,Donovan,Donovan,San Diego,3370418.0,State,Prison,[''],2020-11-30,2020-12-06,,
Donovan_20201201_05_00_FULL,2020-12-01,48,0.047,0.827,0.126,0.9991,Donovan,Donovan,San Diego,3370418.0,State,Prison,[''],2020-11-30,2020-12-06,,
