Facility Name,Week Number,Prison Case Number,Prison Death Number,Prison File Count,Overall Count,Type
Alameda_SantaRita,70,486.0,5.0,1,5,Jail
Alameda_SantaRita,96,831.0,9.0,1,5,Jail
Alameda_SantaRita,97,820.0,5.0,1,22,Jail
Alameda_SantaRita,98,855.0,6.0,1,7,Jail
Alameda_SantaRita,101,2170.0,14.0,2,10,Jail
Alameda_SantaRita,106,26169.0,29.0,1,3,Jail
Alameda_SantaRita,112,2862.0,28.0,2,2,Jail
Amador_Main,87,118.0,3.0,1,17,Jail
Amador_Main,89,113.0,0.0,1,77,Jail
Avenal,43,3.0,1.0,1,4,Prison
Avenal,44,24.0,0.0,3,12,Prison
Avenal,45,15.0,0.0,3,12,Prison
Avenal,63,0.0,0.0,1,24,Prison
Avenal,72,0.0,0.0,1,8,Prison
Avenal,89,0.0,0.0,3,77,Prison
Butte_Main,105,3898.0,4.0,2,15,Jail
CIW,46,0.0,0.0,1,3,Prison
CIW,48,74.0,0.0,2,13,Prison
CIW,49,74.0,0.0,2,23,Prison
CIW,50,14.0,0.0,2,17,Prison
CIW,51,0.0,0.0,1,15,Prison
CIW,52,0.0,0.0,1,18,Prison
CIW,63,2.0,0.0,1,24,Prison
CIW,64,1.0,0.0,1,12,Prison
CMC,55,132.0,1.0,1,14,Prison
CMC,56,108.0,12.0,6,11,Prison
CMC,58,0.0,0.0,7,16,Prison
CMC,59,0.0,3.0,3,11,Prison
CMC,60,0.0,0.0,6,26,Prison
CMC,63,0.0,0.0,1,24,Prison
CMC,68,0.0,0.0,1,51,Prison
CSATF,47,507.0,1.0,1,10,Prison
CSATF,50,12.0,0.0,2,17,Prison
CSATF,52,1.0,0.0,1,18,Prison
CSATF,53,0.0,0.0,4,16,Prison
CSATF,54,5.0,0.0,5,15,Prison
CSATF,55,8.0,0.0,2,14,Prison
CSATF,57,0.0,0.0,1,11,Prison
CSATF,64,0.0,0.0,1,12,Prison
CSATF,65,0.0,0.0,1,11,Prison
CaliforniaCity,69,0.0,0.0,1,58,Prison
CaliforniaCity,74,0.0,0.0,1,181,Prison
CaliforniaCity,75,0.0,0.0,1,147,Prison
CaliforniaCity,76,2.0,0.0,2,110,Prison
Calipatria,55,24.0,0.0,1,14,Prison
Calipatria,56,40.0,0.0,2,11,Prison
Calipatria,57,138.0,0.0,6,11,Prison
Calipatria,58,46.0,0.0,2,16,Prison
Calipatria,60,10.0,0.0,2,26,Prison
Calipatria,62,1.0,0.0,1,12,Prison
Calipatria,64,0.0,0.0,1,12,Prison
Calipatria,65,0.0,0.0,1,11,Prison
Calipatria,66,0.0,0.0,1,4,Prison
Centinela,47,22.0,0.0,1,10,Prison
Centinela,48,322.0,1.0,1,13,Prison
Centinela,55,5.0,0.0,1,14,Prison
Centinela,60,0.0,0.0,1,26,Prison
Centinela,65,0.0,0.0,1,11,Prison
Centinela,67,0.0,0.0,1,12,Prison
Centinela,68,0.0,0.0,1,51,Prison
Chino,17,150.0,0.0,1,1,Prison
Chino,34,1.0,0.0,1,1,Prison
Chino,48,3.0,0.0,1,13,Prison
