Week by Number,Week Number,Start Date,End Date,File Count,Negative,Positive,Weekly Ratio,Mean,Max,Min,25%,50%,75%
0,Week 0,2019-12-30,2020-01-05,0.0,,,,,,,,,
1,Week 1,2020-01-06,2020-01-12,0.0,,,,,,,,,
2,Week 2,2020-01-13,2020-01-19,0.0,,,,,,,,,
3,Week 3,2020-01-20,2020-01-26,0.0,,,,,,,,,
4,Week 4,2020-01-27,2020-02-02,0.0,,,,,,,,,
5,Week 5,2020-02-03,2020-02-09,0.0,,,,,,,,,
6,Week 6,2020-02-10,2020-02-16,0.0,,,,,,,,,
7,Week 7,2020-02-17,2020-02-23,0.0,,,,,,,,,
8,Week 8,2020-02-24,2020-03-01,0.0,,,,,,,,,
9,Week 9,2020-03-02,2020-03-08,0.0,,,,,,,,,
10,Week 10,2020-03-09,2020-03-15,0.0,,,,,,,,,
11,Week 11,2020-03-16,2020-03-22,0.0,,,,,,,,,
12,Week 12,2020-03-23,2020-03-29,0.0,,,,,,,,,
13,Week 13,2020-03-30,2020-04-05,0.0,,,,,,,,,
14,Week 14,2020-04-06,2020-04-12,0.0,,,,,,,,,
15,Week 15,2020-04-13,2020-04-19,0.0,,,,,,,,,
16,Week 16,2020-04-20,2020-04-26,0.0,,,,,,,,,
17,Week 17,2020-04-27,2020-05-03,1.0,1.0,0.0,0.0,-0.999891996383667,-0.999891996383667,-0.999891996383667,-0.999891996383667,-0.999891996383667,-0.999891996383667
18,Week 18,2020-05-04,2020-05-10,0.0,,,,,,,,,
19,Week 19,2020-05-11,2020-05-17,0.0,,,,,,,,,
20,Week 20,2020-05-18,2020-05-24,0.0,,,,,,,,,
21,Week 21,2020-05-25,2020-05-31,0.0,,,,,,,,,
22,Week 22,2020-06-01,2020-06-07,0.0,,,,,,,,,
23,Week 23,2020-06-08,2020-06-14,0.0,,,,,,,,,
24,Week 24,2020-06-15,2020-06-21,0.0,,,,,,,,,
25,Week 25,2020-06-22,2020-06-28,0.0,,,,,,,,,
26,Week 26,2020-06-29,2020-07-05,0.0,,,,,,,,,
27,Week 27,2020-07-06,2020-07-12,0.0,,,,,,,,,
28,Week 28,2020-07-13,2020-07-19,0.0,,,,,,,,,
29,Week 29,2020-07-20,2020-07-26,0.0,,,,,,,,,
30,Week 30,2020-07-27,2020-08-02,0.0,,,,,,,,,
