Facility Name,Week Number,Positive_Count,Negative_Count,All Facilities Weekly Count,Specific Facility Weekly Count,All Facilities Weekly Positive Ratio,All Facilities Weekly Negative Ratio,Specific Facility Positive Ratio,Specific Facility Negative Ratio
Alameda_SantaRita,70,0,1,5,1,0.0,0.2,0.0,1.0
Donovan,70,1,1,5,2,0.2,0.2,0.5,0.5
NewFolsom,70,0,1,5,1,0.0,0.2,0.0,1.0
Solano,70,0,1,5,1,0.0,0.2,0.0,1.0
Alameda_SantaRita,96,0,1,5,1,0.0,0.2,0.0,1.0
Tulare_SouthCounty,96,0,4,5,4,0.0,0.8,0.0,1.0
Alameda_SantaRita,97,0,1,22,1,0.0,0.045454545454545500,0.0,1.0
Tulare_BobWiley,97,0,1,22,1,0.0,0.045454545454545500,0.0,1.0
Ventura_Main,97,0,4,22,4,0.0,0.18181818181818200,0.0,1.0
Ventura_Todd,97,0,16,22,16,0.0,0.7272727272727270,0.0,1.0
Alameda_SantaRita,98,0,1,7,1,0.0,0.14285714285714300,0.0,1.0
LosAngeles_MensCentral,98,0,1,7,1,0.0,0.14285714285714300,0.0,1.0
NewFolsom,98,0,1,7,1,0.0,0.14285714285714300,0.0,1.0
Ventura_Main,98,0,4,7,4,0.0,0.5714285714285710,0.0,1.0
Alameda_SantaRita,101,0,2,10,2,0.0,0.2,0.0,1.0
SantaClara_Elmwood,101,0,8,10,8,0.0,0.8,0.0,1.0
Alameda_SantaRita,106,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
NewFolsom,106,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
Vacaville,106,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
Alameda_SantaRita,112,0,2,2,2,0.0,1.0,0.0,1.0
Amador_Main,87,0,1,17,1,0.0,0.058823529411764700,0.0,1.0
Fresno_Main,87,0,3,17,3,0.0,0.17647058823529400,0.0,1.0
LosAngeles_Metropolitan,87,0,8,17,8,0.0,0.47058823529411800,0.0,1.0
SanJoaquin_Main,87,0,3,17,3,0.0,0.17647058823529400,0.0,1.0
Solano,87,0,1,17,1,0.0,0.058823529411764700,0.0,1.0
Yuba,87,0,1,17,1,0.0,0.058823529411764700,0.0,1.0
Amador_Main,89,0,1,77,1,0.0,0.012987012987013000,0.0,1.0
Avenal,89,0,3,77,3,0.0,0.03896103896103900,0.0,1.0
Chowchilla,89,0,1,77,1,0.0,0.012987012987013000,0.0,1.0
Fresno_Main,89,0,3,77,3,0.0,0.03896103896103900,0.0,1.0
Fresno_Mendota,89,0,1,77,1,0.0,0.012987012987013000,0.0,1.0
LosAngeles_Metropolitan,89,0,4,77,4,0.0,0.05194805194805200,0.0,1.0
Merced_Latorraca,89,0,9,77,9,0.0,0.11688311688311700,0.0,1.0
Merced_Latorraca ,89,0,9,77,9,0.0,0.11688311688311700,0.0,1.0
Merced_Main,89,0,27,77,27,0.0,0.35064935064935100,0.0,1.0
Merced_USPAtwater,89,9,9,77,18,0.11688311688311700,0.11688311688311700,0.5,0.5
SanJoaquin_Main,89,1,0,77,1,0.012987012987013000,0.0,1.0,0.0
Avenal,43,0,1,4,1,0.0,0.25,0.0,1.0
Lancaster,43,0,1,4,1,0.0,0.25,0.0,1.0
SanQuentin,43,0,1,4,1,0.0,0.25,0.0,1.0
Soledad,43,0,1,4,1,0.0,0.25,0.0,1.0
Avenal,44,0,3,12,3,0.0,0.25,0.0,1.0
Chuckawalla,44,0,5,12,5,0.0,0.4166666666666670,0.0,1.0
Corcoran,44,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Norco,44,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
SanQuentin,44,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Avenal,45,0,3,12,3,0.0,0.25,0.0,1.0
Chuckawalla,45,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Ironwood,45,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Lancaster,45,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Mule Creek,45,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
SanQuentin,45,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Vacaville,45,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Avenal,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
CIW,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
CMC,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
Donovan,63,1,0,24,1,0.041666666666666700,0.0,1.0,0.0
High Desert,63,1,0,24,1,0.041666666666666700,0.0,1.0,0.0
Jamestown,63,0,4,24,4,0.0,0.16666666666666700,0.0,1.0
Lancaster,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
Pleasant Valley,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
SalinasValley,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
Solano,63,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
Stockton,63,1,3,24,4,0.041666666666666700,0.125,0.25,0.75
Tracy,63,0,2,24,2,0.0,0.08333333333333330,0.0,1.0
Valley State,63,0,2,24,2,0.0,0.08333333333333330,0.0,1.0
Wasco,63,0,3,24,3,0.0,0.125,0.0,1.0
Avenal,72,0,1,8,1,0.0,0.125,0.0,1.0
Corcoran,72,0,1,8,1,0.0,0.125,0.0,1.0
Mule Creek,72,0,3,8,3,0.0,0.375,0.0,1.0
Orange_Central,72,0,1,8,1,0.0,0.125,0.0,1.0
PelicanBay,72,0,1,8,1,0.0,0.125,0.0,1.0
SalinasValley,72,0,1,8,1,0.0,0.125,0.0,1.0
Butte_Main,105,0,2,15,2,0.0,0.13333333333333300,0.0,1.0
Merced_Main,105,0,9,15,9,0.0,0.6,0.0,1.0
Ventura_Main,105,0,4,15,4,0.0,0.26666666666666700,0.0,1.0
CIW,46,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
Chuckawalla,46,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
Ironwood,46,0,1,3,1,0.0,0.3333333333333330,0.0,1.0
CIW,48,0,2,13,2,0.0,0.15384615384615400,0.0,1.0
Centinela,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
Chino,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
Chowchilla,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
Chuckawalla,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
Donovan,48,0,2,13,2,0.0,0.15384615384615400,0.0,1.0
Lancaster,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
SanQuentin,48,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
Tehachapi,48,0,3,13,3,0.0,0.23076923076923100,0.0,1.0
CIW,49,0,2,23,2,0.0,0.08695652173913040,0.0,1.0
Chino,49,1,3,23,4,0.043478260869565200,0.13043478260869600,0.25,0.75
Chowchilla,49,0,1,23,1,0.0,0.043478260869565200,0.0,1.0
Chuckawalla,49,0,2,23,2,0.0,0.08695652173913040,0.0,1.0
Lancaster,49,0,1,23,1,0.0,0.043478260869565200,0.0,1.0
Mule Creek,49,0,1,23,1,0.0,0.043478260869565200,0.0,1.0
Tehachapi,49,0,12,23,12,0.0,0.5217391304347830,0.0,1.0
CIW,50,0,2,17,2,0.0,0.11764705882352900,0.0,1.0
CSATF,50,1,1,17,2,0.058823529411764700,0.058823529411764700,0.5,0.5
Chino,50,0,2,17,2,0.0,0.11764705882352900,0.0,1.0
Chowchilla,50,0,1,17,1,0.0,0.058823529411764700,0.0,1.0
Solano,50,0,3,17,3,0.0,0.17647058823529400,0.0,1.0
Soledad,50,0,2,17,2,0.0,0.11764705882352900,0.0,1.0
Tehachapi,50,0,5,17,5,0.0,0.29411764705882400,0.0,1.0
CIW,51,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
Chino,51,0,3,15,3,0.0,0.2,0.0,1.0
Chowchilla,51,0,3,15,3,0.0,0.2,0.0,1.0
Corcoran,51,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
SanQuentin,51,1,1,15,2,0.06666666666666670,0.06666666666666670,0.5,0.5
Solano,51,0,2,15,2,0.0,0.13333333333333300,0.0,1.0
Soledad,51,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
Tehachapi,51,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
Vacaville,51,0,1,15,1,0.0,0.06666666666666670,0.0,1.0
CIW,52,0,1,18,1,0.0,0.05555555555555560,0.0,1.0
CSATF,52,0,1,18,1,0.0,0.05555555555555560,0.0,1.0
Chino,52,0,1,18,1,0.0,0.05555555555555560,0.0,1.0
Chowchilla,52,0,1,18,1,0.0,0.05555555555555560,0.0,1.0
Corcoran,52,0,1,18,1,0.0,0.05555555555555560,0.0,1.0
Ironwood,52,1,1,18,2,0.05555555555555560,0.05555555555555560,0.5,0.5
Soledad,52,1,8,18,9,0.05555555555555560,0.4444444444444440,0.1111111111111110,0.8888888888888890
Tehachapi,52,0,2,18,2,0.0,0.1111111111111110,0.0,1.0
CIW,64,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
CSATF,64,1,0,12,1,0.08333333333333330,0.0,1.0,0.0
Calipatria,64,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Chowchilla,64,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
KernValley,64,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Pleasant Valley,64,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Solano,64,0,2,12,2,0.0,0.16666666666666700,0.0,1.0
Soledad,64,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Valley State,64,1,1,12,2,0.08333333333333330,0.08333333333333330,0.5,0.5
CMC,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
CSATF,55,1,1,14,2,0.07142857142857140,0.07142857142857140,0.5,0.5
Calipatria,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Centinela,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Chowchilla,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Ironwood,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Norco,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
SanQuentin,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Solano,55,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Soledad,55,0,2,14,2,0.0,0.14285714285714300,0.0,1.0
Tehachapi,55,0,2,14,2,0.0,0.14285714285714300,0.0,1.0
CMC,56,3,3,11,6,0.2727272727272730,0.2727272727272730,0.5,0.5
Calipatria,56,0,2,11,2,0.0,0.18181818181818200,0.0,1.0
Ironwood,56,1,0,11,1,0.09090909090909090,0.0,1.0,0.0
Tracy,56,0,2,11,2,0.0,0.18181818181818200,0.0,1.0
CMC,58,0,7,16,7,0.0,0.4375,0.0,1.0
Calipatria,58,0,2,16,2,0.0,0.125,0.0,1.0
NorthKern,58,1,0,16,1,0.0625,0.0,1.0,0.0
Pleasant Valley,58,0,3,16,3,0.0,0.1875,0.0,1.0
