Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Chino_20200430_72_FULL,2020-04-30,0,NEGATIVE,-0.999891996383667,0.094,0.842,0.064,-0.9494,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],17,2020-04-27,2020-05-03,150.0,0.06326444538169550,0.0,0.0,147.8
Chino_20200828_136_FULL,2020-08-28,1,POSITIVE,0.937038958072662,0.066,0.677,0.257,0.9966,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],34,2020-08-24,2020-08-30,1.0,0.00042176296921130300,0.0,0.0,147.8
Chino_20201201_104_FULL,2020-12-01,0,NEGATIVE,-0.999619364738464,0.083,0.776,0.141,0.9871,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],48,2020-11-30,2020-12-06,3.0,0.0012652889076339100,0.0,0.0,147.8
Chino_20201208_05_53_FULL,2020-12-08,0,NEGATIVE,-0.999955415725708,0.102,0.845,0.052,-0.9986,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],49,2020-12-07,2020-12-13,0.0,0.0,0.0,0.0,147.8
Chino_20201209_05_35_FULL_PrisonConditions,2020-12-09,0,NEGATIVE,-0.999926686286926,0.212,0.788,0.0,-0.8658,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,['Prison Conditions'],49,2020-12-07,2020-12-13,0.0,0.0,0.0,0.0,147.8
Chino_20201209_139_FullPrograms,2020-12-09,1,POSITIVE,0.911576211452484,0.04,0.84,0.12,0.9093,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,['Programs'],49,2020-12-07,2020-12-13,0.0,0.0,0.0,0.0,147.8
Chino_20201211_0615_FULL,2020-12-11,0,NEGATIVE,-0.999906539916992,0.108,0.815,0.077,-0.978,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],49,2020-12-07,2020-12-13,0.0,0.0,0.0,0.0,147.8
Chino_20201216_06_02_FULL,2020-12-16,0,NEGATIVE,-0.999891519546509,0.069,0.815,0.116,0.9988,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],50,2020-12-14,2020-12-20,9.0,0.003795866722901730,0.0,0.0,147.8
Chino_20201218_174_FULL,2020-12-18,0,NEGATIVE,-0.998813033103943,0.045,0.846,0.109,0.9608,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,"['Prison Conditions', ' Stress']",50,2020-12-14,2020-12-20,9.0,0.003795866722901730,0.0,0.0,147.8
Chino_20201223_208_Full,2020-12-23,0,NEGATIVE,-0.999556243419647,0.098,0.759,0.143,0.9861,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,"['Family', ' Stress', ' Prison Conditions']",51,2020-12-21,2020-12-27,34.0,0.01433994095318430,0.0,0.0,147.8
Chino_20201223_207_FULL,2020-12-23,0,NEGATIVE,-0.999852895736694,0.121,0.814,0.064,-0.9951,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],51,2020-12-21,2020-12-27,34.0,0.01433994095318430,0.0,0.0,147.8
Chino_20201223_209_FULL,2020-12-23,0,NEGATIVE,-0.999903798103332,0.084,0.817,0.099,0.9587,Chino,California Institution for Men (CIM),San Bernardino,2371.0,State,Prison,[''],51,2020-12-21,2020-12-27,34.0,0.01433994095318430,0.0,0.0,147.8
