word,positive_count,negative_count,part_of_speech
well,183,1290,RB
back,127,1142,RB
even,118,1097,RB
really,122,1019,RB
still,95,956,RB
first,116,856,RB
never,88,683,RB
also,124,598,RB
away,75,555,RB
already,54,509,RB
better,94,491,RBR
far,53,472,RB
actually,45,466,RB
long,56,462,RB
pretty,53,459,RB
else,34,402,RB
maybe,35,372,RB
almost,27,357,RB
basically,27,347,RB
later,38,338,RB
always,63,335,RB
yet,43,335,RB
ago,31,312,RB
ever,45,307,RB
enough,36,306,RB
sometimes,35,292,RB
[redacted],35,287,RB
probably,16,282,RB
soon,49,267,RB
especially,52,263,RB
personally,37,258,RB
finally,34,256,RB
close,32,241,RB
together,52,241,RB
instead,22,232,RB
less,23,226,RBR
however,28,225,RB
twice,18,225,RB
currently,19,213,RB
recently,16,211,RB
alone,32,184,RB
sincerely,48,174,RB
early,16,166,RB
apart,15,158,RB
hopefully,26,151,RB
completely,17,145,RB
prior,8,139,RB
honestly,15,131,RB
late,15,127,RB
usually,7,125,RB
barely,14,123,RB
anyway,10,121,RB
constantly,9,121,RB
exactly,9,119,RB
forward,37,119,RB
definitely,23,118,RB
quite,22,116,RB
literally,10,113,RB
celly,11,111,RB
often,30,110,RB
mentally,21,107,RB
absolutely,6,104,RB
truly,30,102,RB
somewhere,1,99,RB
nose,7,98,RB
unfortunately,10,98,RB
seriously,12,98,RB
everywhere,9,97,RB
obviously,3,96,RB
rather,19,96,RB
properly,5,93,RB
possibly,7,89,RB
anymore,11,88,RB
double,1,84,RB
deadly,3,82,RB
immediately,16,82,RB
physically,23,80,RB
eventually,19,79,RB
nowhere,7,78,RB
totally,5,77,RB
normally,6,77,RB
ahead,11,72,RB
earlier,13,72,RBR
mostly,25,71,RB
slowly,11,67,RB
approximately,4,66,RB
extremely,9,65,RB
simply,10,65,RB
elderly,3,64,RB
fully,11,57,RB
supposedly,2,55,RB
anywhere,7,53,RB
quickly,16,52,RB
nearly,7,51,RB
respectfully,13,49,RB
therefore,9,48,RB
luckily,11,46,RB
socially,0,45,RB
regularly,3,45,RB
otherwise,6,45,RB
fortunately,1,44,RB
regardless,12,43,RB
differently,7,43,RB
somewhat,10,42,RB
emotionally,2,41,RB
directly,5,41,RB
hardly,2,41,RB
mainly,6,40,RB
initially,2,40,RB
sometime,2,39,RB
forever,8,37,RB
originally,4,36,RB
easily,12,36,RB
thus,5,36,RB
lonely,11,34,RB
apparently,4,34,RB
previously,2,33,RB
highly,9,33,RB
clearly,3,32,RB
perhaps,7,32,RB
specifically,10,31,RB
lately,9,31,RB
ultimately,4,30,RB
thankfully,6,29,RB
ugly,2,29,RB
particularly,1,28,RB
certainly,3,28,RB
greatly,6,28,RB
surely,3,28,RB
alike,5,27,RB
rapidly,0,27,RB
medically,0,26,RB
frequently,2,26,RB
rarely,2,25,RB
suddenly,7,24,RB
correctly,3,24,RB
fairly,5,22,RB
financially,1,22,RB
severely,0,22,RB
consistently,1,21,RB
deliberately,0,21,RB
aside,9,21,RB
shortly,4,21,RB
freely,2,20,RB
automatically,3,20,RB
necessarily,2,20,RB
continuously,3,19,RB
poorly,3,19,RB
quarterly,2,19,RB
safely,1,18,RB
meanwhile,3,18,RB
nevertheless,1,18,RB
indeed,3,18,RB
drastically,1,17,RB
importantly,7,17,RB
technically,2,17,RB
essentially,1,17,RB
potentially,1,17,RB
randomly,0,17,RB
strongly,4,16,RB
effectively,3,16,RB
psychologically,7,16,RB
presently,2,16,RB
negatively,1,15,RB
legally,0,15,RB
terribly,2,15,RB
primarily,2,14,RB
likewise,1,14,RB
furthermore,8,14,RB
newly,0,14,RB
naturally,1,14,RB
allegedly,0,14,RB
thoroughly,0,14,RB
intentionally,0,14,RB
heavily,3,14,RB
accordingly,1,14,RB
voluntarily,2,13,RB
truthfully,1,13,RB
tremendously,1,13,RB
practically,1,13,RB
continually,2,13,RB
therere,0,13,RB
purposely,1,12,RB
spiritually,9,12,RB
falsely,0,12,RB
elsewhere,2,12,RB
desperately,5,12,RB
friendly,0,12,RB
adhere,1,12,RB
illegally,1,11,RB
occasionally,4,11,RB
sadly,3,11,RB
silly,1,11,RB
specially,1,11,RB
subsequently,0,11,RB
typically,2,11,RB
openly,0,11,RB
promptly,1,11,RB
nonetheless,2,11,RB
violently,0,10,RB
virtually,1,10,RB
timely,2,10,RB
instantly,2,10,RB
atmosphere,0,10,RB
ironically,1,10,RB
anonymously,1,10,RB
wrongfully,2,10,RB
monthly,0,10,RB
lightly,0,10,RB
slightly,2,10,RB
closely,2,10,RB
incredibly,2,10,RB
temporarily,2,9,RB
horribly,1,9,RB
solely,3,9,RB
individually,1,9,RB
gladly,0,9,RB
additionally,1,9,RB
officially,0,9,RB
involuntarily,0,9,RB
actively,0,9,RB
generally,0,9,RB
separately,2,9,RB
knowingly,0,9,RB
rely,2,9,RB
equally,5,9,RB
sexually,0,8,RB
thereby,0,8,RB
unnecessarily,0,8,RB
perfectly,1,8,RB
periodically,1,8,RB
genuinely,6,8,RB
repeatedly,0,8,RB
humbly,1,8,RB
humanly,2,8,RB
thereafter,1,8,RB
readily,0,7,RB
roughly,1,7,RB
brutally,0,7,RB
jelly,3,7,RB
altogether,2,7,RB
entirely,1,7,RB
surprisingly,0,7,RB
efficiently,0,7,RB
lastly,2,7,RB
deathly,0,7,RB
partially,0,7,RB
verbally,0,7,RB
consequently,0,7,RB
appropriately,1,7,RB
chronologically,0,6,RB
secretly,0,6,RB
begrudgingly,0,6,RB
dramatically,1,6,RB
exponentially,0,6,RB
accidentally,1,6,RB
kindly,0,6,RB
eleven,0,6,RB
systematically,1,6,RB
heavenly,2,6,RB
scientifically,0,6,RB
dearly,0,6,RB
nearby,0,6,RB
aggressively,0,6,RB
utterly,1,6,RB
nightly,1,5,RB
badly,4,5,RB
forcibly,0,5,RB
permanently,0,5,RB
relatively,1,5,RB
smoothly,1,5,RB
alongside,1,5,RB
strictly,0,5,RB
improperly,1,5,RB
adequately,0,5,RB
reportedly,1,5,RB
erroneously,0,5,RB
belly,0,5,RB
abroad,0,5,RB
quietly,1,5,RB
assembly,1,5,RB
loudly,0,5,RB
nother,0,5,RB
lovely,2,5,RB
diligently,0,5,RB
positively,1,5,RB
locally,0,5,RB
happily,1,5,RB
respectively,1,5,RB
collectively,1,4,RB
willfully,0,4,RB
namely,0,4,RB
indefinitely,0,4,RB
economically,0,4,RB
obnoxiously,0,4,RB
politely,0,4,RB
magically,0,4,RB
purportedly,0,4,RB
significantly,0,4,RB
morbidly,0,4,RB
professionally,1,4,RB
unusually,0,4,RB
willingly,0,4,RB
hourly,1,4,RB
undoubtedly,0,4,RB
oddly,0,4,RB
technologically,0,4,RB
wholeheartedly,0,4,RB
sheepishly,0,4,RB
classically,0,4,RB
mistakenly,0,4,RB
gratefully,1,4,RB
carefully,2,4,RB
frantically,1,4,RB
overly,1,4,RB
morally,1,4,RB
righteously,0,4,RB
mere,0,4,RB
diametrically,0,4,RB
miserably,0,4,RB
silently,0,4,RB
politically,1,4,RB
monetarily,0,4,RB
successfully,0,4,RB
apiece,0,4,RB
frankly,1,4,RB
seemingly,0,4,RB
secondly,2,3,RB
precisely,2,3,RB
sporadically,1,3,RB
reasonably,0,3,RB
humanely,1,3,RB
bully,0,3,RB
increasingly,0,3,RB
willy,0,3,RB
progressively,0,3,RB
predominantly,2,3,RB
nilly,0,3,RB
yearly,0,3,RB
recklessly,1,3,RB
gradually,0,3,RB
fraudulently,0,3,RB
incorrectly,0,3,RB
privately,0,3,RB
patiently,2,3,RB
routinely,2,3,RB
productively,1,3,RB
dangerously,0,3,RB
truely,0,3,RB
independently,0,3,RB
hypothetically,0,3,RB
unfairly,0,3,RB
maliciously,0,3,RB
grossly,0,3,RB
vicariously,0,3,RB
unlawfully,0,3,RB
exceptionally,0,3,RB
bodily,0,3,RB
sincere,3,3,RB
purposefully,1,3,RB
criminally,0,3,RB
indirectly,0,3,RB
realistically,1,3,RB
adversely,0,3,RB
ethically,2,3,RB
faithfully,0,3,RB
interfere,1,3,RB
smelly,1,3,RB
overwhelmingly,0,3,RB
coincidentally,1,2,RB
andsomewhere,0,2,RB
