word,positive_count,negative_count,part_of_speech
get,214,1632,VB
people,186,1522,NNS
time,212,1465,NN
got,131,1268,VBD
prison,192,1251,NN
go,125,1198,VB
covid,104,1096,NN
day,139,1077,NN
inmates,103,1019,NNS
see,143,996,VB
right,113,982,NN
come,108,959,VB
pandemic,169,949,NN
lot,120,928,NN
family,163,908,NN
days,91,899,NNS
way,117,898,NN
say,117,885,VB
covid19,144,881,NN
want,107,854,NN
take,129,853,VB
put,90,839,NN
think,99,834,NN
staff,76,819,NN
cell,98,808,NN
getting,99,808,VBG
things,114,782,NNS
thing,89,752,NN
yard,76,737,NN
said,58,727,VBD
cant,72,726,NN
quarantine,58,717,NN
yeah,57,706,NN
tested,46,691,VBN
mean,50,683,NN
make,93,679,VB
started,48,679,VBN
feel,111,678,NN
years,131,677,NNS
something,74,676,NN
give,80,676,VB
work,82,674,NN
sick,55,672,NN
came,76,660,VBD
call,76,650,NN
times,101,645,NNS
visits,80,642,NNS
phone,76,636,NN
months,62,632,NNS
everything,75,629,NN
nothing,63,620,NN
anything,56,617,NN
kind,51,610,NN
thank,140,606,NN
virus,70,604,NN
let,82,603,VB
told,46,601,NN
life,142,599,NN
ones,99,598,NNS
help,104,597,NN
went,42,597,VBD
keep,103,590,VB
care,93,587,NN
trying,66,587,VBG
week,47,574,NN
health,101,574,NN
year,77,573,NN
building,47,573,NN
test,40,571,NN
person,72,564,NN
took,52,560,VBD
program,59,548,NN
tell,66,538,NN
need,82,537,NN
guys,50,527,NNS
masks,35,520,NNS
weeks,45,514,NNS
made,73,508,VBN
stuff,34,504,NN
facility,52,495,NN
hope,131,489,NN
use,47,485,NN
state,61,483,NN
place,44,477,NN
letter,111,472,NN
stay,84,470,NN
coming,54,469,VBG
havent,38,467,NN
cells,36,462,NNS
situation,51,462,NN
month,40,460,NN
inmate,45,453,NN
sure,64,448,NN
taking,53,443,VBG
everybody,34,440,NN
moved,30,438,VBN
oh,44,435,NN
done,50,426,VBN
seen,36,426,VBN
saying,29,423,VBG
mask,54,420,NN
write,88,411,NN
wasnt,25,408,NN
someone,54,407,NN
try,42,406,NN
infected,35,398,VBN
loved,83,398,VBN
system,36,396,NN
believe,72,394,VB
man,68,393,NN
whats,46,392,NNS
officers,28,390,NNS
contact,32,387,NN
talk,37,386,NN
everyone,84,385,NN
population,33,385,NN
part,65,385,NN
cause,47,382,NN
left,45,382,NN
yes,51,382,NNS
hours,46,375,NNS
wear,39,373,NN
vaccine,41,372,NN
food,30,372,NN
home,68,370,NN
symptoms,24,369,NNS
end,54,367,NN
move,33,365,NN
allowed,32,365,VBN
ill,52,361,NN
calls,41,360,NNS
california,47,360,NN
locked,34,356,VBN
used,49,355,VBN
ask,48,354,NN
given,31,351,VBN
cdcr,26,350,NN
guess,37,349,NN
supposed,17,344,VBN
lost,74,344,VBN
world,81,342,NN
half,31,340,NN
god,114,338,NN
caught,37,338,NN
understand,50,337,NN
received,63,337,VBN
look,46,336,NN
