Filename,Sentiment,Polarity,Polarity_BoxCox,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,prison_name,County,population,tags,Start Date,End Date,date,cases,deaths
Chino_20200430_72_FULL,NEGATIVE,0.000108003616333,-15.0082118244558,0.094,0.842,0.064,-0.9494,Chino,San Bernardino,2217398.0,[''],2020-03-31,2020-04-30,2020-04-30,1969,95
Solano_20200805_05_00_FULL,NEGATIVE,5.28097152709961E-05,-16.8753420043376,0.053,0.818,0.129,0.9995,Solano,Solano,444255.0,[''],2020-07-06,2020-08-05,2020-08-05,2327,18
Chino_20200828_136_FULL,POSITIVE,0.937038958072662,-0.065244540913804,0.066,0.677,0.257,0.9966,Chino,San Bernardino,2217398.0,[''],2020-07-29,2020-08-28,2020-08-28,10402,308
Donovan_20201004_05_00_FULL,NEGATIVE,0.0002121329307556,-13.3661148110997,0.066,0.826,0.108,0.9895,Donovan,San Diego,3370418.0,[''],2020-09-04,2020-10-04,2020-10-04,8580,108
Solano_20201012_0935_FULL,NEGATIVE,0.0001800656318664,-13.7545569932807,0.07,0.819,0.111,0.9979,Solano,Solano,444255.0,[''],2020-09-12,2020-10-12,2020-10-12,989,19
Vacaville_20201015_154_FULL,NEGATIVE,0.0010746121406556,-9.84856210581321,0.122,0.76,0.119,-0.1531,Vacaville,Solano,444255.0,[''],2020-09-15,2020-10-15,2020-10-15,1031,15
Soledad_20201027_07_31_FULL,NEGATIVE,0.0064509510993957,-6.57785534594085,0.045,0.858,0.097,0.9991,Soledad,Monterey,448732.0,[''],2020-09-27,2020-10-27,2020-10-27,1610,25
SanQuentin_20201027_06_05_FULL,NEGATIVE,8.34465026855469E-06,-22.3620352062421,0.122,0.796,0.082,-0.9966,San Quentin,Marin,260800.0,[''],2020-09-27,2020-10-27,2020-10-27,11,6
Lancaster_20201029_002_FULL,NEGATIVE,0.0003790855407715,-12.04076153418,0.099,0.778,0.123,0.7929,Lancaster,Los Angeles,10257557.0,[''],2020-09-29,2020-10-29,2020-10-29,37670,471
Avenal_20201030_7_01_FULL,NEGATIVE,0.000149130821228,-14.2093443142303,0.059,0.818,0.122,0.9986,Avenal,Kings,156444.0,[''],2020-09-30,2020-10-30,2020-10-30,957,4
Norco_20201102_10_FULL,NEGATIVE,6.07967376707874E-05,-16.497048136778,0.089,0.739,0.173,0.9701,Norco,Riverside,2468145.0,"['Infection', ' Family']",2020-10-03,2020-11-02,2020-11-02,9808,96
San_Quentin_20201103_647_FULL,NEGATIVE,9.29832458496094E-06,-22.011236607409,0.05,0.758,0.192,0.9999,San Quentin,Marin,260800.0,[''],2020-10-04,2020-11-03,2020-11-03,14,4
Corcoran_20201103_07_39_FULL,NEGATIVE,0.0001033544540404,-15.1191836143091,0.076,0.756,0.168,0.9996,Corcoran,Kings,156444.0,[''],2020-10-04,2020-11-03,2020-11-03,952,4
Chuckawalla_20201105_0728_FULL,NEGATIVE,0.0001149177551269,-14.8525486651731,0.139,0.76,0.101,-0.9974,Chuckawalla,Riverside,2468145.0,[''],2020-10-06,2020-11-05,2020-11-05,11016,100
Chuckawalla_20201105_06_41_FULL,NEGATIVE,5.55515289307751E-05,-16.73876945968,0.086,0.793,0.122,0.9976,Chuckawalla,Riverside,2468145.0,[''],2020-10-06,2020-11-05,2020-11-05,11016,100
Avenal_20201105_08_11_FULL,NEGATIVE,0.0001333951950072,-14.4824848547404,0.092,0.857,0.051,-0.996,Avenal,Kings,156444.0,[''],2020-10-06,2020-11-05,2020-11-05,1130,6
Avenal_20201105_07_12_FULL,NEGATIVE,0.0045788884162903,-7.15844334613388,0.05,0.797,0.153,0.9995,Avenal,Kings,156444.0,[''],2020-10-06,2020-11-05,2020-11-05,1130,6
