Filename,Sentiment,Polarity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
11_05_20_ChuckawallaValley_06_41,NEGATIVE,0.0001747012138367,0.092,0.785,0.123,0.9964
12_28_20_Chowchilla_148,NEGATIVE,0.0203402638435363,0.09,0.793,0.116,0.9147
12_29_20_Ironwood_157,POSITIVE,0.9901947379112244,0.07,0.772,0.157,0.9956
12_30_20_Ironwood_156,NEGATIVE,0.0206105113029479,0.138,0.72,0.141,-0.0711
Alameda_SantaRita_20210505_708_Family_Programs_Stress,NEGATIVE,1.1324882507213196e-05,0.056,0.835,0.108,0.9827
Alameda_SantaRita_20210505_708_FULL,NEGATIVE,9.059906005859376e-05,0.054,0.826,0.12,0.9988
Alameda_SantaRita_20210505_708_Infection_PrisonConditions1,NEGATIVE,9.059906005859376e-05,0.105,0.864,0.032,-0.989
Alameda_SantaRita_20210505_708_PrisonConditions2,NEGATIVE,0.000102400779724,0.011,0.942,0.047,0.78
Alameda_SantaRita_20211104_17377_FULL,NEGATIVE,0.0001574754714965,0.052,0.792,0.156,0.9992
Alameda_SantaRita_20211104_17377_Stress,NEGATIVE,4.661083221435547e-05,0.055,0.866,0.079,0.4086
Alameda_SantaRita_20211112_94071_FULL,NEGATIVE,0.0001742243766783,0.065,0.819,0.116,0.992
Alameda_SantaRita_20211112_94071_Infection_PrisonConditions,NEGATIVE,4.303455352783203e-05,0.069,0.836,0.095,-0.3463
Alameda_SantaRita_20211117_77131_FULL,NEGATIVE,3.993511199962274e-05,0.106,0.769,0.125,0.986
Alameda_SantaRita_20211117_77131_PrisonConditions2_Featured,NEGATIVE,2.634525299083368e-05,0.14,0.779,0.081,-0.9923
Alameda_SantaRita_20211117_77131_PrisonConditions_Family_Featured,NEGATIVE,0.0001981854438781,0.067,0.793,0.14,0.9857
Alameda_SantaRita_20211208_13170_FULL,NEGATIVE,0.000176727771759,0.041,0.794,0.165,0.9847
Alameda_SantaRita_20211208_13170_PrisonConditions,NEGATIVE,2.2411346435546875e-05,0.051,0.811,0.138,0.9537
Alameda_SantaRita_20211208_79927_FULL,NEGATIVE,0.1952318549156189,0.026,0.838,0.136,0.9982
Alameda_SantaRita_20211208_79927_Infection,NEGATIVE,0.0045391917228699,0.042,0.864,0.094,0.8806
Alameda_SantaRita_20211208_79927_Programs_Infection,NEGATIVE,0.0710213184356689,0.023,0.872,0.105,0.984
Alameda_SantaRita_20220113_78977_FULL,NEGATIVE,1.0609626770019531e-05,0.074,0.799,0.127,0.9987
Alameda_SantaRita_20220113_78977_PrisonConditions2_Stress,NEGATIVE,0.0001531839370727,0.042,0.788,0.17,0.9917
Alameda_SantaRita_20220113_78977_PrisonConditions_Infection,NEGATIVE,6.794929504394531e-06,0.09,0.83,0.08,0.3574
Alameda_SantaRita_20220113_78977_Stress2_PrisonConditions3,NEGATIVE,4.363059997558594e-05,0.075,0.778,0.147,0.9625
Alameda_SantaRita_20220225_43871_FULL,NEGATIVE,0.0030862092971801,0.07,0.853,0.077,0.6405
Alameda_SantaRita_20220225_43871_Infection2_PrisonConditions2,NEGATIVE,9.608268737804072e-05,0.049,0.904,0.047,-0.4871
Alameda_SantaRita_20220225_43871_Infection3_PrisonConditions3_Featured,NEGATIVE,3.314018249522821e-05,0.085,0.875,0.039,-0.9469
Alameda_SantaRita_20220225_43871_Infection_PrisonConditions,NEGATIVE,0.0106308460235595,0.044,0.92,0.036,-0.3662
Alameda_SantaRita_20220225_43871_PrisonConditions_Stress_Featured,NEGATIVE,0.0001236200332641,0.097,0.859,0.044,-0.975
Alameda_SantaRita_20220225_68847_FULL,NEGATIVE,3.504753112804071e-05,0.038,0.823,0.139,0.9988
Alameda_SantaRita_20220225_68847_PrisonConditions2,NEGATIVE,1.2040138244628906e-05,0.028,0.838,0.133,0.9934
Alameda_SantaRita_20220225_68847_PrisonConditions_Infection,NEGATIVE,3.504753112804071e-05,0.043,0.89,0.068,0.8599
Amador_Main_20210831_95905_Family,NEGATIVE,8.511543273914679e-05,0.019,0.924,0.057,0.7783
Amador_Main_20210831_95905_FULL,NEGATIVE,3.576278686412415e-06,0.054,0.784,0.162,0.9984
Amador_Main_20210831_95905_PrisonConditions,NEGATIVE,5.006790161243835e-06,0.09,0.799,0.111,0.7962
Amador_Main_20210914_87709_FULL,NEGATIVE,9.560585021961554e-05,0.06,0.81,0.13,0.9946
Amador_Main_20210914_87709_Infection_PrisonConditions,NEGATIVE,0.0001854300498962,0.065,0.881,0.054,-0.4976
Amador_Main_20210914_87709_Stress_Featured,NEGATIVE,0.0082686543464659,0.088,0.841,0.071,-0.9058
Avenal_20201030_7_01_Family,NEGATIVE,5.3644180297962585e-05,0.047,0.85,0.104,0.6705
Avenal_20201030_7_01_FULL,NEGATIVE,0.000149130821228,0.059,0.818,0.122,0.9986
Avenal_20201030_7_01_Infection,NEGATIVE,8.881092071522101e-05,0.019,0.925,0.056,0.6652
Avenal_20201030_7_01_PrisonConditions,NEGATIVE,8.511543273914679e-05,0.039,0.911,0.049,0.2821
Avenal_20201030_7_01_PrisonConditions2,NEGATIVE,0.001541256904602,0.04,0.873,0.087,0.8151
Avenal_20201030_7_01_PrisonConditions3,NEGATIVE,8.571147918701172e-05,0.045,0.918,0.037,-0.2632
Avenal_20201030_7_01_PrisonConditions4,NEGATIVE,2.229213714599609e-05,0.09,0.754,0.157,0.6808
Avenal_20201030_7_01_PrisonConditions5,NEGATIVE,0.0002282261848449,0.021,0.848,0.131,0.9818
Avenal_20201105_07_12_Family,NEGATIVE,0.0004157423973083,0.043,0.826,0.131,0.9416
Avenal_20201105_07_12_FULL,NEGATIVE,0.0045788884162903,0.05,0.797,0.153,0.9995
Avenal_20201105_07_12_Infection,NEGATIVE,0.0017463564872741,0.05,0.852,0.098,0.7757
Avenal_20201105_07_12_PrisonConditions,NEGATIVE,0.002501904964447,0.029,0.84,0.131,0.9461
Avenal_20201105_07_12_PrisonConditions2,NEGATIVE,2.992153167724609e-05,0.066,0.793,0.141,0.9967
Avenal_20201105_07_12_Programs,NEGATIVE,0.2409024238586425,0.016,0.895,0.089,0.8243
Avenal_20201105_0830_Family,NEGATIVE,8.165836334239618e-05,0.009,0.909,0.083,0.9551
Avenal_20201105_0830_Full,NEGATIVE,3.123283386241571e-05,0.044,0.873,0.083,0.9984
Avenal_20201105_0830_Infection1,NEGATIVE,5.364418029785156e-06,0.058,0.891,0.051,0.1406
Avenal_20201105_0830_Infection2,NEGATIVE,2.3245811462402344e-05,0.05,0.884,0.066,0.8402
Avenal_20201105_0830_PrisonConditions,NEGATIVE,4.053115844837585e-06,0.012,0.93,0.058,0.8875
Avenal_20201105_0830_PrisonConditions2,NEGATIVE,9.298324584960938e-06,0.017,0.945,0.038,0.6697
Avenal_20201105_08_11_FULL,NEGATIVE,0.0001333951950072,0.092,0.857,0.051,-0.996
Avenal_20201105_08_11_Infection_PrisonConditions,NEGATIVE,0.0001874566078186,0.091,0.832,0.077,-0.7264
Avenal_20201105_08_11_PrisonConditions,NEGATIVE,3.278255462635382e-05,0.04,0.885,0.075,0.952
