InstitutionName,TotalConfirmed,Latitude,Longitude
Avenal State Prison (ASP),3076,35.930765999999998,-120.10057
California City Correctional Facility (CAC),869,35.139327000000002,-117.91473
Calipatria State Prison (CAL),747,33.131763999999997,-115.51208
California Correctional Center (CCC),1240,40.446063000000002,-120.664132
California Correctional Institution (CCI),1242,35.132672999999997,-118.50781
Central California Women's Facility (CCWF),513,37.100417,-120.27864
California State Prison-Centinela (CEN),818,32.853470999999999,-115.58942
California Health Care Facility (CHCF),441,37.955474000000002,-121.19064
California Institution for Men (CIM),1529,34.015962999999999,-117.68737
California Institution for Women (CIW),440,33.903803000000003,-117.60221
California Men's Colony (CMC),1150,35.221085000000002,-120.636399
California Medical Facility (CMF),448,38.348959999999998,-121.908324
California State Prison-Corcoran (COR),716,36.085341999999997,-119.5548
California Rehabilitation Center (CRC),1911,33.925885000000001,-117.55978
Correctional Training Facility (CTF),2351,36.411760000000001,-121.32617
Chuckawalla Valley State Prison (CVSP),1801,33.628332999999998,-114.61905
Deuel Vocational Institution (DVI),145,37.728417,-121.42399
Folsom State Prison (FSP),1360,38.672127000000003,-121.15783
High Desert State Prison (HDSP),1929,40.474950999999997,-120.67685
Ironwood State Prison (ISP),869,33.598689999999998,-114.652517
Kern Valley State Prison (KVSP),823,35.771875999999999,-119.26984
California State Prison-Los Angeles County (LAC),1412,34.728856999999998,-118.32683
Mule Creek State Prison (MCSP),1494,38.346131999999997,-120.94516
North Kern State Prison (NKSP),656,35.774966999999997,-119.23371
Pelican Bay State Prison (PBSP),194,41.782680999999997,-124.16703
Pleasant Valley State Prison (PVSP),1976,36.194735999999999,-120.30865
Richard J. Donovan Correctional Facility (RJD),940,32.572602000000003,-116.918724
California State Prison-Sacramento (SAC),234,38.694032999999997,-121.152413
Substance Abuse Treatment Facility (SATF),2992,36.177360999999998,-119.82042
Sierra Conservation Center (SCC),1127,37.867243000000002,-120.49157
California State Prison-Solano (SOL),660,38.344009999999997,-121.95333
San Quentin State Prison (SQ),2245,37.943365,-122.49029
Salinas Valley State Prison (SVSP),414,36.518179000000003,-121.42557
Valley State Prison (VSP),1481,37.127524999999999,-120.50574
Wasco State Prison (WSP),1184,35.605044999999997,-119.37143
