Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days,StartDate,EndDate
12/31/2020,Avenal State Prison (ASP),35.930765999999998,-120.10057,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California City Correctional Facility (CAC),35.139327000000002,-117.91473,0,0,1,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,Calipatria State Prison (CAL),33.131763999999997,-115.51208,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Correctional Center (CCC),40.446063000000002,-120.664132,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Correctional Institution (CCI),35.132672999999997,-118.50781,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,Central California Women's Facility (CCWF),37.100417,-120.27864,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Health Care Facility (CHCF),37.955474000000002,-121.19064,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Institution for Men (CIM),34.015962999999999,-117.68737,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Institution for Women (CIW),33.903803000000003,-117.60221,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Men's Colony (CMC),35.221085000000002,-120.636399,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Medical Facility (CMF),38.348959999999998,-121.908324,0,0,1,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,Correctional Training Facility (CTF),36.411760000000001,-121.32617,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/31/2020,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
