Sum of TotalConfirmed,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023/1/1 00:00,2023/1/9 00:00,2023/1/17 00:00,2023/1/25 00:00,2023/2/2 00:00,2023/2/10 00:00,2023/2/18 00:00,2023/2/26 00:00,2023/3/6 00:00,2023/3/14 00:00,2023/3/22 00:00,2023/3/30 00:00,2023/4/7 00:00,2023/4/15 00:00,2023/4/23 00:00,2023/5/1 00:00,2023/5/9 00:00,2023/5/17 00:00,2023/5/25 00:00,2023/6/2 00:00,2023/6/10 00:00,2023/6/18 00:00,2023/6/26 00:00,2023/7/4 00:00,2023/7/12 00:00,2023/7/20 00:00,2023/7/28 00:00,2023/8/5 00:00,2023/8/13 00:00,2023/8/21 00:00,2023/8/29 00:00,2023/9/6 00:00,2023/9/14 00:00,2023/9/22 00:00,2023/9/30 00:00,2023/10/8 00:00,Grand Total
Row Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal,34739,34744,34744,34751,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34752,34812,34872,34872,34872,34875,34883,34889,34921,34944,34955,34983,34986,34992,34992,34992,26244,1245094
CaliforniaCity,14656,14656,14656,14662,14672,14672,14672,14672,14672,14672,14674,14742,14902,14996,15036,15053,15056,15056,15056,15056,15056,15056,15056,15056,15056,15058,15115,15256,15371,15384,15384,15384,15384,15384,15384,11538,536211
California Correctional Center (CCC),20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,20784,15588,743028
California Correctional Institution (CCI),14668,14726,14743,14755,14760,14760,14760,14760,14760,14763,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14776,14780,14807,14828,14866,14883,14892,14941,14952,14952,11214,528986
California Health Care Facility (CHCF),15353,15474,15520,15535,15649,16035,16360,16725,16892,17038,17199,17246,17256,17308,17499,17689,17744,17817,17998,18022,18041,18069,18072,18072,18080,18084,18092,18133,18152,18156,18175,18236,18332,18445,18454,13842,622794
California Institution for Men (CIM),31121,31136,31136,31148,31163,31178,31222,31246,31298,31436,31586,31632,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31648,31658,31664,23753,1126985
CIW,8947,9069,9086,9102,9108,9130,9153,9180,9184,9189,9196,9200,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9208,9212,9216,9320,9586,9760,9808,9810,9820,7384,331580
California Medical Facility (CMF),15909,15928,15928,15928,15936,15982,15994,16063,16144,16259,16497,16598,16625,16708,16767,16768,16768,16768,16768,16768,16768,16768,16768,16768,16768,16768,16777,16895,16944,16971,16976,16995,17116,17197,17292,13016,593893
CMC,29770,29799,29867,29931,30121,30260,30302,30368,30485,30573,30588,30592,30592,30592,30592,30592,30592,30592,30592,30592,30592,30593,30600,30600,30600,30600,30600,30600,30603,30608,30608,30611,30616,30616,30616,22962,1089417
California Rehabilitation Center (CRC),30824,31065,31253,31419,31469,31531,31874,32349,33101,33797,34184,34314,34322,34328,34328,34328,34328,34328,34328,34328,34330,34336,34336,34336,34336,34336,34336,34336,34336,34336,34336,34336,34336,34336,34336,25752,1202584
Centinela,9526,9528,9534,9602,9612,9624,9626,9639,9655,9660,9664,9664,9664,9664,9664,9664,9664,9664,9664,9664,9664,9664,9664,9664,9667,9672,9672,9672,9678,9689,9696,9696,9696,9697,9704,7278,345119
Corcoran,20908,20921,20952,20961,20968,20968,20968,20968,20976,20976,20976,20976,20981,20984,20984,20984,20984,20992,20995,21000,21000,21000,21000,21002,21008,21008,21008,21008,21011,21016,21016,21016,21016,21030,21222,16016,750799
California State Prison-Los Angeles County (LAC),18542,18587,18613,18624,18628,18635,18640,18655,18664,18664,18665,18680,18681,18691,18700,18704,18704,18704,18704,18704,18704,18704,18710,18712,18712,18712,18712,18712,18712,18712,18712,18712,18712,18712,18718,14040,667897
California State Prison-Sacramento (SAC),8016,8022,8028,8032,8035,8040,8040,8064,8087,8096,8106,8136,8166,8182,8204,8208,8211,8221,8232,8232,8232,8232,8232,8232,8232,8232,8232,8232,8232,8232,8232,8232,8234,8252,8286,6216,292130
Solano,16655,16711,16712,16712,16716,16726,16746,16791,16806,16823,16832,16832,16832,16845,16879,16903,16912,16912,16912,16912,16912,16912,16912,16912,16912,16912,16919,16920,16920,16920,16946,16961,16968,16968,16973,12732,602868
Calipatria,11856,11856,11857,11865,11872,11872,11877,11888,11902,11906,11912,11912,11919,11920,11928,11936,11936,11948,11954,11960,11960,11960,11960,11960,11963,11968,11968,11968,11968,11968,11969,11978,12006,12016,12016,9012,426716
Central California Women's Facility (CCWF),19192,19208,19215,19216,19221,19224,19232,19269,19272,19293,19322,19419,19658,19787,19906,20015,20032,20034,20056,20064,20069,20072,20073,20080,20082,20088,20088,20106,20140,20163,20195,20217,20471,20846,20925,15716,709966
Chuckawalla,22444,22607,22637,22642,22648,22648,22649,22667,22680,22685,22709,22728,22728,22733,22736,22736,22736,22736,22736,22736,22736,22736,22739,22762,22775,22804,22808,22813,22816,22816,22816,22816,22824,22824,22824,17118,812648
Correctional Training Facility (CTF),28616,28624,28640,28640,28640,28640,28640,28651,28677,28684,28688,28688,28688,28688,28688,28688,28688,28688,28688,28688,28688,28697,28704,28710,28712,28712,28712,28712,28712,28712,28714,28785,28860,28878,28880,21660,1026180
Deuel Vocational Institution (DVI),4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,3270,155870
NewFolsom,23256,23262,23264,23264,23279,23327,23502,24210,24501,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24512,24515,24520,24520,24520,24520,24538,24562,24569,24576,18432,867841
High Desert,18436,18452,18456,18456,18456,18462,18464,18464,18470,18492,18503,18504,18504,18504,18504,18511,18519,18520,18520,18520,18520,18520,18520,18520,18570,18676,18680,18680,18680,18680,18680,18680,18680,18685,18748,14070,663306
Ironwood,25291,25303,25316,25341,25357,25360,25360,25360,25362,25377,25398,25405,25408,25427,25440,25455,25463,25464,25465,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25472,25475,19110,909017
KernValley,11895,12009,12024,12024,12024,12024,12027,12044,12065,12098,12104,12104,12104,12104,12104,12104,12104,12104,12111,12115,12135,12144,12144,12144,12144,12144,12144,12144,12144,12151,12152,12159,12168,12168,12168,9126,432671
Mule Creek,26955,26999,27178,27298,27434,27561,27675,27695,27716,27754,27808,27834,27840,27844,27848,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27860,27893,27906,27926,27928,20950,991742
NorthKern,34456,34569,34706,34991,35256,35475,36035,36645,37137,37412,37510,37579,37663,37722,37756,37777,37810,37824,37900,38021,38108,38141,38177,38247,38367,38447,38529,38619,38692,38801,39184,39584,39711,39840,39967,30103,1346761
PelicanBay,7376,7376,7391,7514,7773,7877,7904,7920,7939,7952,7967,7984,7984,7989,8000,8007,8011,8032,8032,8032,8032,8032,8040,8040,8040,8040,8040,8041,8071,8088,8088,8091,8096,8096,8096,6072,284063
PleasantValley,22234,22282,22296,22320,22321,22328,22328,22328,22328,22331,22336,22336,22337,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22344,22346,22365,22371,22376,22376,16782,798569
Donovan,14079,14256,14359,14445,14502,14557,14655,14757,14768,14780,14790,14792,14798,14800,14800,14807,14808,14808,14808,14808,14808,14808,14808,14808,14808,14808,14808,14808,14827,14867,14985,15356,15367,15368,15368,11526,529305
SalinasValley,10269,10272,10272,10288,10292,10304,10308,10329,10339,10350,10360,10360,10362,10368,10368,10368,10368,10369,10379,10387,10392,10400,10442,10456,10456,10458,10473,10480,10480,10486,10490,10526,10614,10708,10803,8126,372502
SanQuentin,25942,25969,26029,26040,26066,26217,26433,26695,26914,27008,27046,27048,27048,27048,27048,27048,27054,27056,27056,27056,27056,27056,27056,27056,27056,27056,27072,27077,27080,27081,27088,27095,27104,27104,27104,20328,960290
Sierra Conservation Center (SCC),27447,27828,28037,28296,28424,28471,28545,28795,28925,28962,28976,28976,28976,28976,28976,28977,28984,28984,28984,28984,28984,28984,28984,28984,28984,28984,28984,29006,29088,29214,29224,29224,29224,29224,29224,21918,1031757
Substance Abuse Treatment Facility (SATF),38667,38678,38702,38726,38851,38917,38936,38976,39074,39111,39212,39257,39272,39272,39272,39272,39272,39272,39272,39272,39272,39272,39272,39272,39272,39272,39273,39329,39368,39371,39384,39384,39385,39395,39421,29759,1400984
Valley State,18041,18099,18108,18112,18112,18112,18112,18130,18144,18144,18144,18144,18145,18152,18152,18152,18152,18152,18152,18154,18160,18160,18160,18165,18168,18168,18176,18184,18243,18306,18384,18461,18486,18547,18556,13920,650857
Wasco,42106,42327,42484,42572,42618,42646,42690,42820,43024,43178,43338,43483,43648,43743,43785,43821,43874,43944,44041,44083,44096,44117,44164,44208,44325,44426,44530,44609,44719,44830,44913,44983,45068,45167,45284,34034,1567698
Grand Total,723336,725486,726887,728356,729879,731459,733625,737019,739857,741871,743474,744349,745143,745759,746348,746807,747014,747229,747643,747870,748087,748265,748425,748598,748928,749276,749604,750264,750959,751683,752789,754216,755318,756402,757296,568607,26618128
