Total readable files: 654
Total unreadable files: 97
Unreadable Stories:
Story ID: Calipatria_20210222_3_32_FULL_PrisonConditions, Status Code: 404
Story ID: Centinela_20210121_05_38_FULL, Status Code: 404
Story ID: Chino_20201211_0615_FULL, Status Code: 404
Story ID: Chuckawalla_20201208_06_50_FULL, Status Code: 404
Story ID: Chino_20201208_05_53_FULL, Status Code: 404
Story ID: CMC_20210212_0551_FULL, Status Code: 404
Story ID: CMC_20210212_07_21_FULL, Status Code: 404
Story ID: Corcoran_20210105_07_43_FULL, Status Code: 404
Story ID: Donovan_20201201_2_36, Status Code: 404
Story ID: Donovan_20201202_2_59, Status Code: 404
Story ID: Donovan_20210104_603_PrisonConditions, Status Code: 404
Story ID: Donovan_20210111_01_05_Infection, Status Code: 404
Story ID: Donovan_20210503_6_27_FULL_Infection_PrisonConditions, Status Code: 404
Story ID: Ironwood_20201109_06_38_FULL, Status Code: 404
Story ID: Mule Creek_20201228_07_03_FULL, Status Code: 404
Story ID: Mule Creek_20201228_621_FULL, Status Code: 404
Story ID: Mule Creek_20201229_07_32_FULL, Status Code: 404
Story ID: Solano_20210322_05_04_FULL, Status Code: 404
Story ID: Soledad_20201228_159_Full_PrisonConditions, Status Code: 404
Story ID: Soledad_20210208_08_30_FULL, Status Code: 404
Story ID: Tehachapi_20201202_2_50_FULL_Programs_Stress_Family_PrisonConditions, Status Code: 404
Story ID: Tehachapi_20210111_441_FULL_PrisonConditions, Status Code: 404
Story ID: Tehachapi_20210119_0740_FULL, Status Code: 404
Story ID: Tracy_20210125_06_00_FULL, Status Code: 404
Story ID: MuleCreek_20210114_0504_FULL, Status Code: 404
Story ID: MuleCreek_20210114_0518_FULL, Status Code: 404
Story ID: Calipatria_20210129_309_FULL_Infection_Stress, Status Code: 404
Story ID: Calipatria_20210203_383_FULL, Status Code: 404
Story ID: Calipatria_20210205_389a_FULL, Status Code: 404
Story ID: Chino_20201130_074_FULL, Status Code: 404
Story ID: Chino_20201201_103_FULL, Status Code: 404
Story ID: Chino_20201205_92_Full, Status Code: 404
Story ID: Chino_20201218_174_FULL, Status Code: 404
Story ID: Chino_20201223_207_FULL, Status Code: 404
Story ID: Chino_20201231_186_FULL, Status Code: 404
Story ID: Chowchilla_20201208_117_FULL, Status Code: 404
Story ID: Chowchilla_20201218_173_FULL_PrisonConditions_Stress_Family, Status Code: 404
Story ID: Chowchilla_20201228_148_FULL, Status Code: 404
Story ID: CMC_20210129_307_FULL, Status Code: 404
Story ID: CMC_20210129_308_Full_PrisonConditions, Status Code: 404
Story ID: CMC_20210208_346_FULL_Stress_Infection_PrisonConditions, Status Code: 404
Story ID: CMC_20210210_355_FULL, Status Code: 404
Story ID: CMC_20210210_357_FULL, Status Code: 404
Story ID: CSATF_20201214_141_FULL, Status Code: 404
Story ID: CSATF_20210121_260_FULL_Stress_Infection, Status Code: 404
Story ID: CSATF_20201231_167_FULL, Status Code: 404
Story ID: High_Desert_20210128_304_FULL, Status Code: 404
Story ID: HighDesert_20210128_305_FULL, Status Code: 404
Story ID: HighDesert_20210211_441_Full_PrisonCondtions_Infection_Stress, Status Code: 503
Story ID: Ironwood_20201229_157_FULL, Status Code: 404
Story ID: Ironwood_20201230_156_FULL, Status Code: 404
Story ID: Ironwood_20210122_327_FULL_Programs_Infection, Status Code: 404
Story ID: Ironwood_20210205_388, Status Code: 404
Story ID: Lancaster_20201202_091_FULL, Status Code: 404
Story ID: Lancaster_20201209_110_FULL, Status Code: 404
Story ID: MuleCreek_20201210_101_FULL, Status Code: 404
Story ID: Norco_20201102_10_FULL, Status Code: 404
Story ID: Norco_20210203_386_FULL, Status Code: 404
Story ID: Norco_20210208_349_FULL, Status Code: 404
Story ID: NorthKern_20210209_337_FULL, Status Code: 404
Story ID: PleasantValley_20210201_370_FULL, Status Code: 404
Story ID: Soledad_20201215_170_FULL, Status Code: 404
Story ID: Soledad_20201215_171_FULL_Infection_Programs_Stress, Status Code: 404
