Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days,StartDate,EndDate
12/31/2021,Avenal State Prison (ASP),35.930765999999998,-120.10057,3138,8,85,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1053,2,48,37,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1172,3,29,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1467,0,25,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,119,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,60,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,902,1,37,4,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,670,19,143,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1660,30,285,62,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,511,1,214,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,14,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Medical Facility (CMF),38.348959999999998,-121.908324,738,12,135,7,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,1388,7,71,32,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,2230,1,382,197,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Correctional Training Facility (CTF),36.411760000000001,-121.32617,2740,21,27,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,1816,9,11,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Folsom State Prison (FSP),38.672127000000003,-121.15783,1385,2,89,5,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2076,2,11,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Ironwood State Prison (ISP),33.598689999999998,-114.652517,1589,1,50,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,986,7,18,7,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,1532,14,26,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,1905,9,26,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,North Kern State Prison (NKSP),35.774966999999997,-119.23371,1250,5,286,7,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,332,0,31,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2029,3,50,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1052,18,14,33,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,349,2,18,31,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,3132,7,118,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,1675,0,53,5,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,California State Prison-Solano (SOL),38.344009999999997,-121.95333,1399,7,108,3,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,San Quentin State Prison (SQ),37.943365,-122.49029,2267,28,44,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,685,6,25,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Valley State Prison (VSP),37.127524999999999,-120.50574,1764,2,19,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/31/2021,Wasco State Prison (WSP),35.605044999999997,-119.37143,2125,2,294,159,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,Avenal State Prison (ASP),35.930765999999998,-120.10057,3138,8,82,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1053,2,171,37,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1172,3,67,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1467,0,303,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,56,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,163,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,902,1,95,4,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,670,19,233,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1642,30,285,45,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,511,1,13,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/30/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,88,0,2021-12-29 00:00:00,2022-01-05 00:00:00
