InstitutionName,TotalConfirmed,Latitude,Longitude
Avenal State Prison (ASP),32,35.930765999999998,-120.10057
California City Correctional Facility (CAC),91,35.139327000000002,-117.91473
California Correctional Center (CCC),2598,33.131763999999997,-115.51208
California Correctional Institution (CCI),43,40.446063000000002,-120.664132
California Health Care Facility (CHCF),394,35.132672999999997,-118.50781
California Institution for Men (CIM),71,37.100417,-120.27864
California Institution for Women (CIW),130,32.853470999999999,-115.58942
California Medical Facility (CMF),183,37.955474000000002,-121.19064
California Men's Colony (CMC),107,34.015962999999999,-117.68737
California Rehabilitation Center (CRC),479,33.903803000000003,-117.60221
California State Prison-Centinela (CEN),23,35.221085000000002,-120.636399
California State Prison-Corcoran (COR),58,38.348959999999998,-121.908324
California State Prison-Los Angeles County (LAC),24,36.085341999999997,-119.5548
California State Prison-Sacramento (SAC),34,33.925885000000001,-117.55978
California State Prison-Solano (SOL),46,36.411760000000001,-121.32617
Calipatria State Prison (CAL),20,33.628332999999998,-114.61905
Central California Women's Facility (CCWF),223,37.728417,-121.42399
Chuckawalla Valley State Prison (CVSP),54,38.672127000000003,-121.15783
Correctional Training Facility (CTF),33,40.474950999999997,-120.67685
Deuel Vocational Institution (DVI),545,33.598689999999998,-114.652517
Folsom State Prison (FSP),165,35.771875999999999,-119.26984
High Desert State Prison (HDSP),43,34.728856999999998,-118.32683
Ironwood State Prison (ISP),27,38.346131999999997,-120.94516
Kern Valley State Prison (KVSP),49,35.774966999999997,-119.23371
Mule Creek State Prison (MCSP),127,41.782680999999997,-124.16703
North Kern State Prison (NKSP),728,36.194735999999999,-120.30865
Pelican Bay State Prison (PBSP),90,32.572602000000003,-116.918724
Pleasant Valley State Prison (PVSP),23,38.694032999999997,-121.152413
Richard J. Donovan Correctional Facility (RJD),171,36.177360999999998,-119.82042
Salinas Valley State Prison (SVSP),73,37.867243000000002,-120.49157
San Quentin State Prison (SQ),146,38.344009999999997,-121.95333
Sierra Conservation Center (SCC),244,37.943365,-122.49029
Substance Abuse Treatment Facility (SATF),147,36.518179000000003,-121.42557
Valley State Prison (VSP),68,37.127524999999999,-120.50574
Wasco State Prison (WSP),430,35.605044999999997,-119.37143
