file_name,date,prison_name,tags,confirmed_cases,start_date,end_date
Alameda_SantaRita_20211208_13170_FULL,20211208,Alameda_SantaRita,[''],,2021-12-05 00:00:00,2021-12-12 00:00:00
Alameda_SantaRita_20211208_79927_FULL,20211208,Alameda_SantaRita,[''],,2021-12-05 00:00:00,2021-12-12 00:00:00
Alameda_SantaRita_20211117_77131_FULL,20211117,Alameda_SantaRita,[''],,2021-11-11 00:00:00,2021-11-18 00:00:00
Alameda_SantaRita_20211104_17377_FULL,20211104,Alameda_SantaRita,[''],,2021-11-03 00:00:00,2021-11-10 00:00:00
Alameda_SantaRita_20211112_94071_FULL,20211112,Alameda_SantaRita,[''],,2021-11-11 00:00:00,2021-11-18 00:00:00
Alameda_SantaRita_20210505_708_FULL,20210505,Alameda_SantaRita,[''],,2021-05-03 00:00:00,2021-05-10 00:00:00
Alameda_SantaRita_20220113_78977_FULL,20220113,Alameda_SantaRita,[''],,2022-01-06 00:00:00,2022-01-13 00:00:00
Alameda_SantaRita_20220225_68847_FULL,20220225,Alameda_SantaRita,[''],,2022-02-23 00:00:00,2022-03-02 00:00:00
Alameda_SantaRita_20220225_43871_FULL,20220225,Alameda_SantaRita,[''],,2022-02-23 00:00:00,2022-03-02 00:00:00
Amador_Main_20210914_87709_FULL,20210914,Amador_Main,[''],,2021-09-08 00:00:00,2021-09-15 00:00:00
Amador_Main_20210831_95905_FULL,20210831,Amador_Main,[''],,2021-08-31 00:00:00,2021-09-07 00:00:00
Avenal_20201030_7_01_FULL,20201030,Avenal,[''],,2020-10-23 00:00:00,2020-10-30 00:00:00
Avenal_20201105_07_12_FULL,20201105,Avenal,[''],0,2020-10-31 00:00:00,2020-11-07 00:00:00
Avenal_20201105_08_11_FULL,20201105,Avenal,[''],0,2020-10-31 00:00:00,2020-11-07 00:00:00
Avenal_20201105_0830_FULL,20201105,Avenal,[''],0,2020-10-31 00:00:00,2020-11-07 00:00:00
Avenal_20201106_623_FULL,20201106,Avenal,[''],0,2020-10-31 00:00:00,2020-11-07 00:00:00
Avenal_20201110_08_13_FULL,20201110,Avenal,[''],0,2020-11-08 00:00:00,2020-11-15 00:00:00
Avenal_20201110_7_51_FULL,20201110,Avenal,[''],0,2020-11-08 00:00:00,2020-11-15 00:00:00
Avenal_20201113_7_18_FULL,20201113,Avenal,[''],0,2020-11-08 00:00:00,2020-11-15 00:00:00
Avenal_20210317_8_31_Full,20210317,Avenal,[''],25040,2021-03-16 00:00:00,2021-03-23 00:00:00
Avenal_20210326_6_51_FULL,20210326,Avenal,[''],25040,2021-03-24 00:00:00,2021-03-31 00:00:00
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress,20210518,Avenal,"['Infection', ' Prison Conditions', ' Stress']",25040,2021-05-11 00:00:00,2021-05-18 00:00:00
Avenal_20210916_71906_P1_FULL,20210916,Avenal,[''],25072,2021-09-16 00:00:00,2021-09-23 00:00:00
Avenal_20210916_71906_P2_FULL,20210916,Avenal,[''],25072,2021-09-16 00:00:00,2021-09-23 00:00:00
Avenal_20210916_71906_P3_FULL,20210916,Avenal,[''],25072,2021-09-16 00:00:00,2021-09-23 00:00:00
Butte_Main_20220105_59841_FULL,20220105,Butte_Main,[''],,2021-12-29 00:00:00,2022-01-05 00:00:00
Butte_Main_20220105_13697_FULL,20220105,Butte_Main,[''],,2021-12-29 00:00:00,2022-01-05 00:00:00
CaliforniaCity_20210604_821_FULL_Programs_Infection,20210604,CaliforniaCity,"['Programs', ' Infection']",8024,2021-06-04 00:00:00,2021-06-11 00:00:00
CaliforniaCity_20210609_844_FULL,20210609,CaliforniaCity,[''],8024,2021-06-04 00:00:00,2021-06-11 00:00:00
CaliforniaCity_20210617_624_FULL,20210617,CaliforniaCity,[''],8027,2021-06-12 00:00:00,2021-06-19 00:00:00
CaliforniaCity_20210617_714_FULL,20210617,CaliforniaCity,[''],8027,2021-06-12 00:00:00,2021-06-19 00:00:00
CaliforniaCity_20210426_816_Full_ProgramsFamily,20210426,CaliforniaCity,"['Programs', ' Family']",8024,2021-04-25 00:00:00,2021-05-02 00:00:00
