file_name,date,prison_name,tags
Avenal_20201030_7_01_FULL,20201030,Avenal,['']
Avenal_20201105_07_12_FULL,20201105,Avenal,['']
Avenal_20201105_08_11_FULL,20201105,Avenal,['']
Avenal_20201105_0830_FULL,20201105,Avenal,['']
Avenal_20201106_623_FULL,20201106,Avenal,['']
Avenal_20201110_08_13_FULL,20201110,Avenal,['']
Avenal_20201110_7_51_FULL,20201110,Avenal,['']
Avenal_20201113_7_18_FULL,20201113,Avenal,['']
Avenal_20210317_8_31_Full,20210317,Avenal,['']
Avenal_20210326_6_51_FULL,20210326,Avenal,['']
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress,20210518,Avenal,"['Infection', ' Prison Conditions', ' Stress']"
Calipatria_20210122_06_48_FULL,20210122,Calipatria,['']
Calipatria_20210217_07_39_FULL,20210217,Calipatria,['']
Calipatria_20210222_3_32_FULL_PrisonConditions,20210222,Calipatria,"['Prison Conditions', ' Program', ' Stress']"
Centinela_20210121_05_38_FULL,20210121,Centinela,['']
Centinela_20210412_57555_FULL,20210412,Centinela,['']
Centinela_20210420_705_Full,20210420,Centinela,['']
Chino_20201211_0615_FULL,20201211,Chino,['']
Chowchilla_20210326_801_FULL,20210326,Chowchilla,['']
Chuckawalla_20201105_06_41_FULL,20201105,Chuckawalla,['']
Chuckawalla_20201105_0728_FULL,20201105,Chuckawalla,['']
Chuckawalla_20201106_05_42_FULL,20201106,Chuckawalla,['']
Chuckawalla_20201106_07_07_FULL,20201106,Chuckawalla,['']
Chuckawalla_20201106_07_22_FULL,20201106,Chuckawalla,['']
Chuckawalla_20201109_05_04_FULL,20201109,Chuckawalla,['']
Chuckawalla_20201109_06_57_FULL,20201109,Chuckawalla,['']
Chuckawalla_20201120_06_34_FULL,20201120,Chuckawalla,['']
Chuckawalla_20201127_06_21_FULL,20201127,Chuckawalla,['']
Chuckawalla_20201127_06_39_FULL,20201127,Chuckawalla,['']
Chuckawalla_20201127_06_59_FULL,20201127,Chuckawalla,['']
Chuckawalla_20201203_06_01_PrisonConditions1_Infection,20201203,Chuckawalla,['Prison Conditions']
Chuckawalla_20201208_06_50_FULL,20201208,Chuckawalla,['']
Chuckawalla_20201211_05_20_FULL,20201211,Chuckawalla,['']
Chino_20201208_05_53_FULL,20201208,Chino,['']
Chino_20201209_05_35_FULL_PrisonConditions,20201209,Chino,['Prison Conditions']
Chino_20201216_06_02_FULL,20201216,Chino,['']
CIW_20201207_07_46_FULL,20201207,CIW,"['Stress', ' Prison Conditions', ' Featured']"
CIW_20210324_06_51_FULL,20210324,CIW,['']
CMC_20210212_0551_FULL,20210212,CMC,['']
CMC_20210212_07_21_FULL,20210212,CMC,['']
Corcoran_20201103_07_39_FULL,20201103,Corcoran,['']
Corcoran_20210105_07_43_FULL,20210105,Corcoran,['']
Corcoran_20210421_637_FULL_Infection_Family_Programs,20210421,Corcoran,"['Infection', ' Family', ' Programs']"
Corcoran_20210428_320_FULL,20210428,Corcoran,['']
Corcoran_20210518_6_21_FULL,20210518,Corcoran,['']
Corcoran_20210824_21225_FULL,20210824,Corcoran,['']
CSATF_20210209_625_FULL,20210209,CSATF,['']
Donovan_20201004_05_00_FULL,20201004,Donovan,['']
Donovan_20201130_06_49_FULL,20201130,Donovan,['']
Donovan_20201201_05_00_FULL,20201201,Donovan,['']
Donovan_20201201_2_36,20201201,Donovan,"['Infection', ' Prison Conditions']"
Donovan_20201202_2_59,20201202,Donovan,['Prison Conditions']
Donovan_20201202_5_31_FULL,20201202,Donovan,['']
Donovan_20201209_8_39_FULL,20201209,Donovan,"['Family', ' Stress', ' Program']"
Donovan_20210104_603_PrisonConditions,20210104,Donovan,['Prison Conditions']
Donovan_20210107_01_16_FULL,20210107,Donovan,['']
Donovan_20210111_01_05_Infection,20210111,Donovan,['Infection']
Donovan_20210115_245_FULL,20210115,Donovan,['']
Donovan_20210503_6_27_FULL_Infection_PrisonConditions,20210503,Donovan,"['Infection', ' Prison Conditions']"
Donovan_20210507_5_59_P1_Full,20210507,Donovan,['']
Donovan_20210507_5_59_P2_FULL,20210507,Donovan,['']
Donovan_20210514_6_29_Full,20210514,Donovan,['']
Fresno_Main_20210826_59372_P1_FULL,20210826,Fresno_Main,['']
Fresno_Main_20210826_59372_P2_FULL,20210826,Fresno_Main,['']
Fresno_Main_20210901_87115_FULL,20210901,Fresno_Main,['']
Fresno_Main_20210910_29668_FULL,20210910,Fresno_Main,['']
Fresno_Main_20210910_56264_FULL,20210910,Fresno_Main,['']
Fresno_Main_20210916_40145_FULL,20210916,Fresno_Main,['']
Ironwood_20201109_06_38_FULL,20201109,Ironwood,['']
Ironwood_20201118_2_04_Stress,20201118,Ironwood,['Stress']
KernValley_20210427_5_59_Full,20210427,KernValley,['']
Mule Creek_20201228_07_03_FULL,20201228,Mule Creek,['']
Mule Creek_20201228_621_FULL,20201228,Mule Creek,['']
Mule Creek_20201229_07_32_FULL,20201229,Mule Creek,['']
MuleCreek_20210521_6_47_Full,20210521,MuleCreek,['']
NewFolsom_20210421_7_30_FULL,20210421,NewFolsom,['']
NewFolsom_20210503_813_FULL,20210503,NewFolsom,['']
NewFolsom_20210513_7_16_FULL,20210513,NewFolsom,['']
NewFolsom_20211117_47746_FULL,20211117,NewFolsom,['']
NewFolsom_20211123_82594_FULL,20211123,NewFolsom,['']
Norco_20210218_10_04_FULL_Stress,20210218,Norco,['Stress']
Orange_Central_20210511_6_20_FULL,20210511,Orange_Central,['']
Orange_TheoLacy_20210422_8_05_FULL,20210422,Orange_TheoLacy,['']
Orange_TheoLacy_20210428_7_37_FULL,20210428,Orange_TheoLacy,['']
PelicanBay_20210520_6_09_FULL,20210520,PelicanBay,['']
PleasantValley_20210222_8_04_Full,20210222,PleasantValley,['']
Riverside_Benoit_20210604_503_FULL,20210604,Riverside_Benoit,['']
Riverside_Blythe_20210607_646_FULL,20210607,Riverside_Blythe,['']
Riverside_Byrd_20210604_627_FULL,20210604,Riverside_Byrd,['']
Riverside_Presley_20210603_525_FULL,20210603,Riverside_Presley,['']
Riverside_Smith_20210601_7_43_FULL,20210601,Riverside_Smith,['']
Riverside_Smith_20210609_829_FULL,20210609,Riverside_Smith,['']
Riverside_Smith_20210610_806_FULL,20210610,Riverside_Smith,['']
Riverside_Smith_20210610_826_FULL,20210610,Riverside_Smith,['']
Riverside_Smith_20210614_737_FULL,20210614,Riverside_Smith,['']
Riverside_Smith_20210616_801_FULL,20210616,Riverside_Smith,['']
Riverside_Smith_20210617_519_FULL_Infection,20210617,Riverside_Smith,['Infection']
Riverside_unspecified_20210622_0731_FULL,20210622,Riverside_unspecified,['']
SalinasValley_20210521_6_20_Full,20210521,SalinasValley,['']
San Quentin_20201113_734_FULL,20201113,San Quentin,['']
San_Quentin_20201103_647_FULL,20201103,San_Quentin,['']
San_Quentin_20210121_07_10_FULL,20210121,San_Quentin,['Infection']
SanQuentin_20201027_06_05_FULL,20201027,SanQuentin,['']
Solano_20200805_05_00_FULL,20200805,Solano,['']
Solano_20201012_0935_FULL,20201012,Solano,['']
Solano_20201206_08_30_FULL_PrisonConditions,20201206,Solano,"['Prison Conditions', ' Infections']"
Solano_20201214_7_54_FULL,20201214,Solano,['']
Solano_20201214_8_13_FULL,20201214,Solano,['']
Solano_20201217_05_27_FULL_3calls,20201217,Solano,['']
Solano_20201217_619_FULL,20201217,Solano,['']
Solano_20201221_05_31_FULL,20201221,Solano,['']
Solano_20210123_03_05_FULL,20210123,Solano,['']
Solano_20210308_05_50_FULL,20210308,Solano,['']
Solano_20210322_05_04_FULL,20210322,Solano,['']
Solano_20210326_20348_FULL,20210326,Solano,['']
Solano_20201221_06_00_FULL,20201221,Solano,['']
Soledad_20201026_08_14_FULL,20201026,Soledad,['']
Soledad_20201027_07_31_FULL,20201027,Soledad,['']
Soledad_20201228_159_Full_PrisonConditions,20201228,Soledad,['Prison Conditions']
Soledad_20210208_08_30_FULL,20210208,Soledad,['Featured']
Tehachapi_20201202_2_50_FULL_Programs_Stress_Family_PrisonConditions,20201202,Tehachapi,"['Programs', ' Stress', ' Family', ' Prison conditions']"
Tehachapi_20210111_441_FULL_PrisonConditions,20210111,Tehachapi,['Prison Conditions']
Tehachapi_20210119_0740_FULL,20210119,Tehachapi,['']
Tracy_20210125_06_00_FULL,20210125,Tracy,['']
Vacaville_20201124_01_45_FULL_PrisonConditions,20201124,Vacaville,"['Prison Conditions', ' Featured']"
Vacaville_20210111_156_FULL_Infection,20210111,Vacaville,"['Featured', ' Infection', ' Prison Condition']"
Vacaville_20210429_7_14_FULL,20210429,Vacaville,['']
Vacaville_20211227_51626_FULL,20211227,Vacaville,['']
Fresno_Main_20210920_28918_FULL,20210920,Fresno_Main,['']
SanJoaquin_Main_20210831_12851_FULL,20210831,SanJoaquin_Main,['']
SanJoaquin_Main_20210831_15688_FULL,20210831,SanJoaquin_Main,['']
SanJoaquin_Main_20210902_88473_P2_FULL,20210902,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P1_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P2_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_38166_P2_Infection,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210907_70339_FULL,20210907,SanJoaquin_Main,['']
SanJoaquin_Main_20210910_54143_FULL,20210910,SanJoaquin_Main,['']
Yuba_20210903_29710_FULL,20210903,Yuba,['']
Yuba_20210811_503_FULL,20210811,Yuba,['']
SanJoaquin_Main_20210914_84921_Full,20210914,SanJoaquin_Main,['']
Merced_Latorraca_20210910_38691_FULL,20210910,Merced_Latorraca,['']
Merced_Latorraca _20210917_24079_FULL,20210917,Merced_Latorraca ,['']
Merced_Latorraca_20210910_81379_FULL,20210910,Merced_Latorraca,['']
