Story ID (prison_yyyymmdd_topic),Unique ID,On M.I. list?,Reviewed and Cleared,Date R&C,Added to site,Date added,Story Title (max 20 characters),Audio File,Transcript,Date (MM/YY),Prison,Tags,Storyteller,Story Type,"If Segment, Full Story ID",Letter/Call
Avenal_20201030_7_01_FULL,2833,MV,KT,,NS,,The full story,https://www.dropbox.com/s/pdw6erv5g3wlpbl/Avenal_20201030_7_01_FULL.mp3?dl=0,https://www.dropbox.com/s/qst628077siy7gw/Avenal_20201030_7_01_FULL.txt?dl=0,10/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201105_07_12_FULL,1589,MV,KT,,KT,,The full story,https://www.dropbox.com/s/yolazqq9nylabus/Avenal_20201105_07_12_FULL.mp3?dl=0,https://www.dropbox.com/s/gxhz7qgewpl2jyy/Avenal_20201105_07_12_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201105_08_11_FULL,7772,MV,MV,09/27/2021,MV,10/01/2021,The full story,https://www.dropbox.com/s/cpm744oki3qd31t/Avenal_20201105_08_11_FULL.mp3?dl=0,https://www.dropbox.com/s/yak4rrj582ynr1a/Avenal_20201105_08_11_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201105_0830_FULL,5098,MV,KT,,KT,,The full story,https://www.dropbox.com/s/yzywylftcw8kf0u/Avenal_20201105_0830_FULL.mp3?dl=0,https://www.dropbox.com/s/u8mai2gpyddpn3i/Avenal_20201105_0830_Full.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201106_623_FULL,2555,MV,KT,,KT,,The full story,https://www.dropbox.com/s/xw8ladku9p7s9e6/Avenal_20201106_623_FULL.mp3?dl=0,https://www.dropbox.com/s/hdsolhv0k1mmmwi/Avenal_20201106_623_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201110_08_13_FULL,5684,MV,KT,,KT,,The full story,https://www.dropbox.com/s/dwfwurhyqdxm420/Avenal_20201110_08_13_FULL.mp3?dl=0,https://www.dropbox.com/s/h69vaoynwmsgb61/Avenal_20201110_08_13_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201110_7_51_FULL,6462,MV,KT,,KT,,The full story,https://www.dropbox.com/s/4im6463outzwbfa/Avenal_20201110_7_51_FULL.mp3?dl=0,https://www.dropbox.com/s/xzje0j5m2qfyqk6/Avenal_20201110_7_51_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20201113_7_18_FULL,2957,MV,KT,,KT,,The full story,https://www.dropbox.com/s/uy4ah9jtparme8u/Avenal_20201113_7_18_FULL.mp3?dl=0,https://www.dropbox.com/s/rdozfeknkxcm09w/Avenal_20201113_7_18_FULL.txt?dl=0,11/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20210317_8_31_Full,46374,,MV,,MV,,The full story,https://www.dropbox.com/s/xd2io4h7wc18bqf/Avenal_20210317_8_31_FULL.mp3?dl=0,https://www.dropbox.com/s/rwpwax32ptyj6mh/Avenal_20210317_8_31_Full.txt?dl=0,03/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20210326_6_51_FULL,21277,,MV,,MV,,The full story,https://www.dropbox.com/s/3u8h0apa2y5ymoq/Avenal_20210326_6_51_Full.mp3?dl=0,https://www.dropbox.com/s/imqihhrx1c092t4/Avenal_20210326_6_51_Full.txt?dl=0,03/23,Avenal,,Incarcerated Person,Full,Avenal_20210317_8_31_Full,Call
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress,5846,,MV,09/28/2021,MV,10/01/2021,A huge delay,https://www.dropbox.com/s/oby56ettymgd5wk/Avenal_20210518_5_22_Full_Infection_PrisonConditions_Stress.mp3?dl=0,https://www.dropbox.com/s/o5yti92z3ero8gg/Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress.txt?dl=0,05/23,Avenal,"Infection, Prison Conditions, Stress",Incarcerated Person,Full,,Call
Calipatria_20210122_06_48_FULL,4862,,KT,,NS,,The full story,https://www.dropbox.com/scl/fi/8uacbh471c6tv78nqxkmr/Calipatria_20210122_06_48_FULL.mp3?rlkey=7bjwz17m7acorj4cic10og9ai&dl=0,https://www.dropbox.com/scl/fi/r20mz25aixa8lk8y1bg13/Calipatria_20210122_06_48_FULL.txt?rlkey=ces136wmwc5cc3ih1oib6eirx&dl=0,01/23,Calipatria,,Incarcerated Person,Full,,Call
